﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
beanfunDB,dbo,AGG_PlayDeposit,RowID,1,,,bigint,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,TransDate,2,,,varchar,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,Source,3,,,char,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,MainAccountID,4,,,varchar,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ServiceCode,5,,,char,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ServiceRegion,6,,,char,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ServiceAccountID,7,,,varchar,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,LastLogoutTime,8,,,datetime,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,SavePoint,9,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,SaveMin,10,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ChargePoints,11,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ChargeServicePoints,12,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,LoginFreqncy,13,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,SaveFreqncy,14,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,ChargeFreqncy,15,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,NChargeFreqncy,16,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,PlayTime,17,,,numeric,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,Creator,18,,,varchar,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,CreateTime,19,,,datetime,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,NChargePoints,20,,,int,,,,,,,,,,,,,,,
beanfunDB,dbo,AGG_PlayDeposit,NChargeServicePoints,21,,,int,,,,,,,,,,,,,,,
