﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_CAConfig,dbo,FxChatEmotion,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxChatEmotion,EmotAttr,2,,NO,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxChatEmotion,EmotText,3,,NO,varchar,2000.0,2000.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,MissionName,1,,NO,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,CheckPoint,2,,NO,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,Key,3,,NO,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,ValueType,4,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,Operator,5,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxCAMissionSetting,Value,6,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxClientVersionInfo_old,Version,1,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxClientVersionInfo_old,VersionCritical,2,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxClientVersionInfo_old,BinaryHash,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxClientVersionInfo_old,MemoryHash,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxClientVersionInfo_old,IsValid,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,GroupSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,BalanceLevel,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,SubIdx,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,Type,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,Power,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,Weight,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxColoringPattern,Memo,7,,YES,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxConfusedFightRankRenew,MultiSvrIdx,1,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxConfusedFightRankRenew,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxConfusedFightRankRenew,Point,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxConfusedFightRankRenew,LastUpdateDate,4,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CAConfig,dbo,TournamentSettings,TournamentCharge,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,TournamentSettings,TournamentFinalNum,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,TournamentSettings,TournamentMinUser,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,RewardIdx,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,ItemSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,Amount,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,Period,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,Message,6,,YES,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,TournamentTimer,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,TournamentTimer,ServerIdx,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,TournamentTimer,WeekEnd,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,TournamentTimer,StartTime,4,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,TournamentTimer,EndTime,5,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAConfig,dbo,FxAntarcticRank,MultiSvrIdx,1,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxAntarcticRank,RankDate,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAConfig,dbo,FxAntarcticRank,ClearTime,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
