﻿type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,CAConfig,_cacommusvr,,extract,CAConfig,_cacommusvr,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,billingconfig,,extract,CAConfig,billingconfig,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,billingsvr,,extract,CAConfig,billingsvr,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,billingsvr2,,extract,CAConfig,billingsvr2,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,cadbconfig,,extract,CAConfig,cadbconfig,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,caloginsvr,,extract,CAConfig,caloginsvr,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,camultisvr,,extract,CAConfig,camultisvr,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,caserverlist,,extract,CAConfig,caserverlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxadminpermissions,,extract,CAConfig,fxadminpermissions,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxadminpermissionsrenew,,extract,CAConfig,fxadminpermissionsrenew,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxadvertisement,,extract,CAConfig,fxadvertisement,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxadvertisement0310,,extract,CAConfig,fxadvertisement0310,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxantarcticrank,,extract,CAConfig,fxantarcticrank,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxbadprocess,,extract,CAConfig,fxbadprocess,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectioncategory,,extract,CAConfig,fxcaitemcollectioncategory,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectioneventlist,,extract,CAConfig,fxcaitemcollectioneventlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectionitemidx,,extract,CAConfig,fxcaitemcollectionitemidx,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectionnormallist,,extract,CAConfig,fxcaitemcollectionnormallist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectionrewardlist,,extract,CAConfig,fxcaitemcollectionrewardlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaitemcollectionsubcategory,,extract,CAConfig,fxcaitemcollectionsubcategory,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangballoonpoint,,extract,CAConfig,fxcajjangballoonpoint,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangpenaltyconfig,,extract,CAConfig,fxcajjangpenaltyconfig,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangrewardinfo,,extract,CAConfig,fxcajjangrewardinfo,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangrewardlist,,extract,CAConfig,fxcajjangrewardlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangseasoninfo,,extract,CAConfig,fxcajjangseasoninfo,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangseasonschedule,,extract,CAConfig,fxcajjangseasonschedule,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcajjangsectionpoint,,extract,CAConfig,fxcajjangsectionpoint,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcamissiondailyconfig,,extract,CAConfig,fxcamissiondailyconfig,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcamissionnormalconfig,,extract,CAConfig,fxcamissionnormalconfig,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcamissionoption,,extract,CAConfig,fxcamissionoption,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcamissionsetting,,extract,CAConfig,fxcamissionsetting,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcaptionlist,,extract,CAConfig,fxcaptionlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxchatemotion,,extract,CAConfig,fxchatemotion,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxclienthashinfo,,extract,CAConfig,fxclienthashinfo,,,,,,,,,client端的hashinformation(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxclientstring,,extract,CAConfig,fxclientstring,,,,,,,,,遊戲中玩家收到的各項訊息(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxclientversioninfo,,extract,CAConfig,fxclientversioninfo,,,,,,,,,client透過比對版號決定是否更新版本或連線(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcoloringpattern,,extract,CAConfig,fxcoloringpattern,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxconfusedfightrank,,extract,CAConfig,fxconfusedfightrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxconfusedfightrankrenew,,extract,CAConfig,fxconfusedfightrankrenew,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAConfig,fxcursefilterstring,,extract,CAConfig,fxcursefilterstring,,,,,,,,,尚未確定(小於500K),
