﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_CAConfig,dbo,FxChatEmotion,BASE TABLE
20200807_CAConfig,dbo,FxCAMissionSetting,BASE TABLE
20200807_CAConfig,dbo,FxClientVersionInfo_old,BASE TABLE
20200807_CAConfig,dbo,FxColoringPattern,BASE TABLE
20200807_CAConfig,dbo,FxConfusedFightRankRenew,BASE TABLE
20200807_CAConfig,dbo,TournamentSettings,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionRewardList,BASE TABLE
20200807_CAConfig,dbo,TournamentTimer,BASE TABLE
20200807_CAConfig,dbo,FxAntarcticRank,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionSubCategory,BASE TABLE
20200807_CAConfig,dbo,FxEventContents,BASE TABLE
20200807_CAConfig,dbo,FxDTTConfig,BASE TABLE
20200807_CAConfig,dbo,FxServerChannelName,BASE TABLE
20200807_CAConfig,dbo,FxTitleContentList,BASE TABLE
20200807_CAConfig,dbo,FxEvents,BASE TABLE
20200807_CAConfig,dbo,FxGSAdm,BASE TABLE
20200807_CAConfig,dbo,FxDTTLockCosts,BASE TABLE
20200807_CAConfig,dbo,VW_DynamicMap_Renew,VIEW
20200807_CAConfig,dbo,FxGuildServerList,BASE TABLE
20200807_CAConfig,dbo,FxConfusedFightRank,BASE TABLE
20200807_CAConfig,dbo,FxItemProb,BASE TABLE
20200807_CAConfig,dbo,FxDTTSlotConfig,BASE TABLE
20200807_CAConfig,dbo,FxFishingBait,BASE TABLE
20200807_CAConfig,dbo,FxSchoolZzang,BASE TABLE
20200807_CAConfig,dbo,FxDTTSlotGrade,BASE TABLE
20200807_CAConfig,dbo,FxFishingLocation,BASE TABLE
20200807_CAConfig,dbo,FxTieInSaleInfo,BASE TABLE
20200807_CAConfig,dbo,FxUserOptions,BASE TABLE
20200807_CAConfig,dbo,FxFishingReward,BASE TABLE
20200807_CAConfig,dbo,FxUserSystemInfo,BASE TABLE
20200807_CAConfig,dbo,ItemHash,BASE TABLE
20200807_CAConfig,dbo,FxFishingRewardFish,BASE TABLE
20200807_CAConfig,dbo,QMarkAllowedItemList,BASE TABLE
20200807_CAConfig,dbo,WebNotice,BASE TABLE
20200807_CAConfig,dbo,FxFishingRod,BASE TABLE
20200807_CAConfig,dbo,WhiteProcessesLists,BASE TABLE
20200807_CAConfig,dbo,_CACommuSvr,BASE TABLE
20200807_CAConfig,dbo,FxDynamicImg_bak181004,BASE TABLE
20200807_CAConfig,dbo,FxGetDifferentLucci,BASE TABLE
20200807_CAConfig,dbo,FxDynamicImg,BASE TABLE
20200807_CAConfig,dbo,FxHCMList,BASE TABLE
20200807_CAConfig,dbo,TournamentTimer_20090723,BASE TABLE
20200807_CAConfig,dbo,FxHiddenCatchRankCalcInfo,BASE TABLE
20200807_CAConfig,dbo,FxHiddenCatchStageInfo,BASE TABLE
20200807_CAConfig,dbo,FxHiddenCatchStageInfoSU,BASE TABLE
20200807_CAConfig,dbo,FxSquareMap,BASE TABLE
20200807_CAConfig,dbo,FxTLShopConfig,BASE TABLE
20200807_CAConfig,dbo,FxTLShopRefreshProb,BASE TABLE
20200807_CAConfig,dbo,FxDailyMissionConfig,BASE TABLE
20200807_CAConfig,dbo,FxTLShopRefreshSchedule,BASE TABLE
20200807_CAConfig,dbo,FxDailyMissionDateSchedule,BASE TABLE
20200807_CAConfig,dbo,FxDailyMissionSchema,BASE TABLE
20200807_CAConfig,dbo,FxDailyMissionWeekSchedule,BASE TABLE
20200807_CAConfig,dbo,tmp_20091008,BASE TABLE
20200807_CAConfig,dbo,FxItemSkill,BASE TABLE
20200807_CAConfig,dbo,FxCurseFilterString,BASE TABLE
20200807_CAConfig,dbo,FxRewardLimitSetting,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangBalloonPoint,BASE TABLE
20200807_CAConfig,dbo,FxDynamicMapInfo,BASE TABLE
20200807_CAConfig,dbo,VW_DynamicMap,VIEW
20200807_CAConfig,dbo,FxDynamicMapList,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangPenaltyConfig,BASE TABLE
20200807_CAConfig,dbo,FxServerString,BASE TABLE
20200807_CAConfig,dbo,BillingSvr2,BASE TABLE
20200807_CAConfig,dbo,FxQuestConfig,BASE TABLE
20200807_CAConfig,dbo,FxGlobalButtonConfig,BASE TABLE
20200807_CAConfig,dbo,FxServerList,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangRewardInfo,BASE TABLE
20200807_CAConfig,dbo,FxRPGMiniMapInfo,BASE TABLE
20200807_CAConfig,dbo,fxquestconfig_bak2,BASE TABLE
20200807_CAConfig,dbo,FxServerConfigGroup,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangRewardList,BASE TABLE
20200807_CAConfig,dbo,FxRPGMiniMapList,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangSeasonInfo,BASE TABLE
20200807_CAConfig,dbo,FxRPGShowMapInfo,BASE TABLE
20200807_CAConfig,dbo,FxStageMap,BASE TABLE
20200807_CAConfig,dbo,FxClientHashInfo,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangSeasonSchedule,BASE TABLE
20200807_CAConfig,dbo,FxClientVersionInfo,BASE TABLE
20200807_CAConfig,dbo,FxCAJJangSectionPoint,BASE TABLE
20200807_CAConfig,dbo,FXLSConfigTable,BASE TABLE
20200807_CAConfig,dbo,FxServerConfigTable,BASE TABLE
20200807_CAConfig,dbo,FxAdminPermissionsRenew,BASE TABLE
20200807_CAConfig,dbo,FxMatchingCommonConfig,BASE TABLE
20200807_CAConfig,dbo,FxLadderRestrictIP,BASE TABLE
20200807_CAConfig,dbo,FxMatchingConfig,BASE TABLE
20200807_CAConfig,dbo,FxFishingReward_20190328,BASE TABLE
20200807_CAConfig,dbo,FxQuestString,BASE TABLE
20200807_CAConfig,dbo,FxMatchingFailedConfig,BASE TABLE
20200807_CAConfig,dbo,FxHackAuthenIP,BASE TABLE
20200807_CAConfig,dbo,FxMatchingMapList,BASE TABLE
20200807_CAConfig,dbo,PlayLog_SMS,BASE TABLE
20200807_CAConfig,dbo,FxAdvertisement0310,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionCategory,BASE TABLE
20200807_CAConfig,dbo,FxMessage,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionEventList,BASE TABLE
20200807_CAConfig,dbo,FxClientString,BASE TABLE
20200807_CAConfig,dbo,BillingConfig,BASE TABLE
20200807_CAConfig,dbo,BillingSvr,BASE TABLE
20200807_CAConfig,dbo,CADBConfig,BASE TABLE
20200807_CAConfig,dbo,FxCAMissionDailyConfig,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionItemIdx,BASE TABLE
20200807_CAConfig,dbo,CALoginSvr,BASE TABLE
20200807_CAConfig,dbo,CAMultiSvr,BASE TABLE
20200807_CAConfig,dbo,dtproperties,BASE TABLE
20200807_CAConfig,dbo,FxHackAuthenIP_20110721BAK,BASE TABLE
20200807_CAConfig,dbo,CAServerList,BASE TABLE
20200807_CAConfig,dbo,FxCAMissionNormalConfig,BASE TABLE
20200807_CAConfig,dbo,FxAdminPermissions,BASE TABLE
20200807_CAConfig,dbo,FxAdvertisement,BASE TABLE
20200807_CAConfig,dbo,FxRankMap,BASE TABLE
20200807_CAConfig,dbo,FxBadProcess,BASE TABLE
20200807_CAConfig,dbo,FxCAMissionOption,BASE TABLE
20200807_CAConfig,dbo,FxCAItemCollectionNormalList,BASE TABLE
20200807_CAConfig,dbo,FxCaptionList,BASE TABLE
