schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,_CACommuSvr,0,0,0,0
dbo,BillingConfig,1,0,0,0
dbo,BillingSvr,0,0,0,0
dbo,BillingSvr2,15,0,0,0
dbo,CADBConfig,0,0,0,0
dbo,CALoginSvr,16,0,0,0
dbo,CAMultiSvr,0,0,0,0
dbo,CAServerList,0,0,0,0
dbo,FxAdminPermissions,18,0,0,0
dbo,FxAdminPermissionsRenew,10,0,0,0
dbo,FxAdvertisement,0,0,0,0
dbo,FxAdvertisement0310,2,0,0,0
dbo,FxAntarcticRank,86,0,0,0
dbo,FxBadProcess,0,0,0,0
dbo,FxCAItemCollectionCategory,3,0,0,0
dbo,FxCAItemCollectionEventList,6,0,0,0
dbo,FxCAItemCollectionItemIdx,57,0,0,0
dbo,FxCAItemCollectionNormalList,58,0,0,0
dbo,FxCAItemCollectionRewardList,6,0,0,0
dbo,FxCAItemCollectionSubCategory,4,0,0,0
dbo,FxCAJJangBalloonPoint,0,0,0,0
dbo,FxCAJJangPenaltyConfig,0,0,0,0
dbo,FxCAJJangRewardInfo,0,0,0,0
dbo,FxCAJJangRewardList,0,0,0,0
dbo,FxCAJJangSeasonInfo,0,0,0,0
dbo,FxCAJJangSeasonSchedule,0,0,0,0
dbo,FxCAJJangSectionPoint,0,0,0,0
dbo,FxCAMissionDailyConfig,77,0,0,0
dbo,FxCAMissionNormalConfig,46,0,0,0
dbo,FxCAMissionOption,1,0,0,0
dbo,FxCAMissionSetting,193,0,0,0
dbo,FxCaptionList,0,0,0,0
dbo,FxChatEmotion,8,0,0,0
dbo,FxClientHashInfo,26,0,0,0
dbo,FxClientString,8803,0,0,0
dbo,FxClientVersionInfo,1,0,0,0
dbo,FxClientVersionInfo_old,0,0,0,0
dbo,FxColoringPattern,65,0,0,0
dbo,FxConfusedFightRank,0,0,0,0
dbo,FxConfusedFightRankRenew,19,0,0,0
dbo,FxCurseFilterString,38,0,0,0
dbo,FxDailyMissionConfig,35,0,0,0
dbo,FxDailyMissionDateSchedule,1,0,0,0
dbo,FxDailyMissionSchema,70,0,0,0
dbo,FxDailyMissionWeekSchedule,7,0,0,0
dbo,FxDTTConfig,1,0,0,0
dbo,FxDTTLockCosts,2,0,0,0
dbo,FxDTTSlotConfig,2,0,0,0
dbo,FxDTTSlotGrade,11,0,0,0
dbo,FxDynamicImg,91,0,0,0
dbo,FxDynamicImg_bak181004,74,0,0,0
dbo,FxDynamicMapInfo,798,0,0,0
dbo,FxDynamicMapList,874,0,0,0
dbo,FxEventContents,3223,0,0,0
dbo,FxEvents,2135,0,0,0
dbo,FxFishingBait,4,0,0,0
dbo,FxFishingLocation,216,0,0,0
dbo,FxFishingReward,161,0,0,0
dbo,FxFishingReward_20190328,150,0,0,0
dbo,FxFishingRewardFish,4,0,0,0
dbo,FxFishingRod,12,0,0,0
dbo,FxGetDifferentLucci,0,0,0,0
dbo,FxGlobalButtonConfig,12,0,0,0
dbo,FxGSAdm,6,0,0,0
dbo,FxGuildServerList,0,0,0,0
dbo,FxHackAuthenIP,0,0,0,0
dbo,FxHackAuthenIP_20110721BAK,11,0,0,0
dbo,FxHCMList,1410,0,0,0
dbo,FxHiddenCatchRankCalcInfo,7,0,0,0
dbo,FxHiddenCatchStageInfo,430,0,0,0
dbo,FxHiddenCatchStageInfoSU,200,0,0,0
dbo,FxItemProb,6,0,0,0
dbo,FxItemSkill,36,0,0,0
dbo,FxLadderRestrictIP,0,0,0,0
dbo,FXLSConfigTable,17,0,0,0
dbo,FxMatchingCommonConfig,4,0,0,0
dbo,FxMatchingConfig,0,0,0,0
dbo,FxMatchingFailedConfig,7,0,0,0
dbo,FxMatchingMapList,24,0,0,0
dbo,FxMessage,15,0,0,0
dbo,FxQuestConfig,597,0,0,0
dbo,fxquestconfig_bak2,133,0,0,0
dbo,FxQuestString,4861,0,0,0
dbo,FxRankMap,217,0,0,0
dbo,FxRewardLimitSetting,0,0,0,0
dbo,FxRPGMiniMapInfo,71,0,0,0
dbo,FxRPGMiniMapList,71,0,0,0
dbo,FxRPGShowMapInfo,64,0,0,0
dbo,FxSchoolZzang,0,0,0,0
dbo,FxServerChannelName,32,0,0,0
dbo,FxServerConfigGroup,108,0,0,0
dbo,FxServerConfigTable,38,0,0,0
dbo,FxServerList,47,0,0,0
dbo,FxServerString,94,0,0,0
dbo,FxSquareMap,0,0,0,0
dbo,FxStageMap,235,0,0,0
dbo,FxTieInSaleInfo,0,0,0,0
dbo,FxTitleContentList,215,0,0,0
dbo,FxTLShopConfig,1,0,0,0
dbo,FxTLShopRefreshProb,24,0,0,0
dbo,FxTLShopRefreshSchedule,4,0,0,0
dbo,FxUserOptions,0,0,0,0
dbo,FxUserSystemInfo,0,0,0,0
dbo,ItemHash,0,0,0,0
dbo,PlayLog_SMS,0,0,0,0
dbo,QMarkAllowedItemList,7,0,0,0
dbo,tmp_20091008,5262,0,0,0
dbo,TournamentSettings,1,0,0,0
dbo,TournamentTimer,8,0,0,0
dbo,TournamentTimer_20090723,8,0,0,0
dbo,WebNotice,0,0,0,0
dbo,WhiteProcessesLists,0,0,0,0
