type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildaccount1113,,extract,CAGuild,fxguildaccount1113,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildchangenamehistory,,extract,CAGuild,fxguildchangenamehistory,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguilddeleted,,extract,CAGuild,fxguilddeleted,,,,,,,,,公會刪除情報(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildmessage,,extract,CAGuild,fxguildmessage,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildnotice,,extract,CAGuild,fxguildnotice,,,,,,,,,公會公告討論版(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildquestlog,,extract,CAGuild,fxguildquestlog,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguilduseraccount,,extract,CAGuild,fxguilduseraccount,,,,,,,,,公會會員情報(大於100M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguilduseraccount1113,,extract,CAGuild,fxguilduseraccount1113,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguilduserquestlog,,extract,CAGuild,fxguilduserquestlog,,,,,,,,,公會任務(0M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxpreguilduseraccount,,extract,CAGuild,fxpreguilduseraccount,,,,,,,,,玩家加入公會時的第二層條件內容限制(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,fxpreguilduseraccount1113,,extract,CAGuild,fxpreguilduseraccount1113,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,ga0206,,extract,CAGuild,ga0206,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,gua0206,,extract,CAGuild,gua0206,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,logguildcreated,,extract,CAGuild,logguildcreated,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,logguildmasterchanged,,extract,CAGuild,logguildmasterchanged,,,,,,,,,公會會長變更紀錄(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,logusergpfailed,,extract,CAGuild,logusergpfailed,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAGuild,membernum1113,,extract,CAGuild,membernum1113,,,,,,,,,尚未確定(小於500K),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,user_name,all,CAGuild,fxguildaccount,name,extract,CAGuild,fxguildaccount,,,,,,,,,公會情報(大於100M),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,user_name,all,CAGuild,fxguilduserdeleted,id,extract,CAGuild,fxguilduserdeleted,,,,,,,,,尚未確定(大於100M),
log,1,bnb,2019-12-01,,,,,,all,CAGuild,fxguildbbs,,extract,CAGuild,fxguildbbs,,datecreated,datecreated,0,1,,,,公會討論版(大於1G),
