﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_CAGuild,dbo,dtproperties,BASE TABLE
20200807_CAGuild,dbo,LogGuildMasterChanged,BASE TABLE
20200807_CAGuild,dbo,tmpSortByGP,BASE TABLE
20200807_CAGuild,dbo,tmpSortByMemberNo,BASE TABLE
20200807_CAGuild,dbo,aa,VIEW
20200807_CAGuild,dbo,vwGuildQuestUser,VIEW
20200807_CAGuild,dbo,GUA0206,BASE TABLE
20200807_CAGuild,dbo,GA0206,BASE TABLE
20200807_CAGuild,dbo,FxGuildAccount1113,BASE TABLE
20200807_CAGuild,dbo,FxGuildUserDeleted,BASE TABLE
20200807_CAGuild,dbo,FxGuildUserAccount1113,BASE TABLE
20200807_CAGuild,dbo,FxPreGuildUserAccount1113,BASE TABLE
20200807_CAGuild,dbo,MemberNum1113,BASE TABLE
20200807_CAGuild,dbo,FxGuildChangeNameHistory,BASE TABLE
20200807_CAGuild,dbo,FxGuildMessage,BASE TABLE
20200807_CAGuild,dbo,tmp_20150713,BASE TABLE
20200807_CAGuild,dbo,FxGuildAccount,BASE TABLE
20200807_CAGuild,dbo,FxGuildBBS,BASE TABLE
20200807_CAGuild,dbo,LogUserGPFailed,BASE TABLE
20200807_CAGuild,dbo,FxGuildDeleted,BASE TABLE
20200807_CAGuild,dbo,FxGuildNotice,BASE TABLE
20200807_CAGuild,dbo,FxGuildQuestLog,BASE TABLE
20200807_CAGuild,dbo,FxGuildUserAccount,BASE TABLE
20200807_CAGuild,dbo,FxGuildUserQuestLog,BASE TABLE
20200807_CAGuild,dbo,FxPreGuildUserAccount,BASE TABLE
20200807_CAGuild,dbo,LogGuildCreated,BASE TABLE
