﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,FxGuildChangeNameHistory,66,0,0,0
dbo,FxGuildMessage,0,0,0,0
dbo,FxGuildQuestLog,10702,0,0,0
dbo,FxGuildUserQuestLog,0,0,0,0
dbo,GA0206,2,0,0,0
dbo,GUA0206,2,0,0,0
dbo,LogGuildCreated,13251,0,0,0
dbo,MemberNum1113,13920,0,0,0
dbo,tmp_20150713,57,0,0,0
dbo,FxPreGuildUserAccount1113,30113,1,1,0
dbo,FxGuildAccount1113,13920,1,1,0
dbo,tmpSortByGP,108781,2,2,0
dbo,tmpSortByMemberNo,108781,2,2,0
dbo,LogGuildMasterChanged,36162,3,2,1
dbo,LogUserGPFailed,74916,6,3,3
dbo,FxGuildUserAccount1113,210587,12,12,0
dbo,FxGuildDeleted,95577,15,6,9
dbo,FxPreGuildUserAccount,218168,74,25,48
dbo,FxGuildNotice,66560,77,19,58
dbo,FxGuildAccount,108782,144,42,101
dbo,FxGuildUserDeleted,4288486,168,163,5
dbo,FxGuildUserAccount,3874291,799,404,394
dbo,FxGuildBBS,27643749,2313,2204,108
