﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_CAItem,dbo,FxRpgItemStat,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,attr1,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,attr2,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,attr3,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,name,5,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_CAItem,dbo,FxRpgItemStat,grade,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,StatCode,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRpgItemStat,StatValue,8,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_CAItem,dbo,FxPresentList,GroupSN,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxPresentList,ItemSN,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxPresentList,Presenter,3,,YES,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAItem,dbo,FxPresentList,Amount,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxPresentList,attr1,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxQCouponMap,Sn,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxQCouponMap,Kind,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxQCouponMap,StockSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxQCouponMap,StockSNOrg,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxQCouponMap,DiscountRate,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,attr1,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,attr2,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,attr3,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,StatCode,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,UpgradeLevel,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxRPGItemUpgrade,Value,7,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_CAItem,dbo,FxStockNew,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,Category,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,Character,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,Tab,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,SubTab,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,Name,6,,NO,varchar,30.0,30.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAItem,dbo,FxStockNew,Description,7,,YES,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAItem,dbo,FxStockNew,ItemSN,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,Unit,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,DataFile,10,,YES,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAItem,dbo,FxStockNew,Price,11,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,LimitLevel,12,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,LimitLevelType,13,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,ValidityPeriod,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAItem,dbo,FxStockNew,ValidityLevel,15,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
