type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,CAItem,caitem_desc,,extract,CAItem,caitem_desc,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbasketinfo,,extract,CAItem,fxbasketinfo,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbattlepoint,,extract,CAItem,fxbattlepoint,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbattlerewarditem,,extract,CAItem,fxbattlerewarditem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbattlerewardprob,,extract,CAItem,fxbattlerewardprob,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbonusmap,,extract,CAItem,fxbonusmap,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbonusmaprewarditem,,extract,CAItem,fxbonusmaprewarditem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbundlegachapon,,extract,CAItem,fxbundlegachapon,,,,,,,,,水球箱道具數量(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxbundlegachaponwinnerlist,,extract,CAItem,fxbundlegachaponwinnerlist,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxcategories,,extract,CAItem,fxcategories,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxcategories2,,extract,CAItem,fxcategories2,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxcoupleanniversarypresent,,extract,CAItem,fxcoupleanniversarypresent,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxcouponmap,,extract,CAItem,fxcouponmap,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxdailymissionstock,,extract,CAItem,fxdailymissionstock,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxdttgachaponitem,,extract,CAItem,fxdttgachaponitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxdttpointrewarditem,,extract,CAItem,fxdttpointrewarditem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxdttremainlimiteditem,,extract,CAItem,fxdttremainlimiteditem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxelecdisplaycolorinfo,,extract,CAItem,fxelecdisplaycolorinfo,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxexitemmap,,extract,CAItem,fxexitemmap,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxforcedeleteitem,,extract,CAItem,fxforcedeleteitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxfxpackagemap0110,,extract,CAItem,fxfxpackagemap0110,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxgachaponbonusgaugeitem,,extract,CAItem,fxgachaponbonusgaugeitem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxgachaponitemdisplay,,extract,CAItem,fxgachaponitemdisplay,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxgachaponitemlist,,extract,CAItem,fxgachaponitemlist,,,,,,,,,轉蛋、樂暴卡活動的概率表(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxgachaponitemlistset,,extract,CAItem,fxgachaponitemlistset,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxgcouponaddamount,,extract,CAItem,fxgcouponaddamount,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxitem,,extract,CAItem,fxitem,,,,,,,,,遊戲中出現的所有道具資料(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxitemextraattr,,extract,CAItem,fxitemextraattr,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxitemextraattrmmap,,extract,CAItem,fxitemextraattrmmap,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxitemhistory,,extract,CAItem,fxitemhistory,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxitemnew,,extract,CAItem,fxitemnew,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxlimiteditem,,extract,CAItem,fxlimiteditem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxlimiteditemwinnerlist,,extract,CAItem,fxlimiteditemwinnerlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxlimitedmagicboxitem,,extract,CAItem,fxlimitedmagicboxitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxlobbysquaredisplayitem,,extract,CAItem,fxlobbysquaredisplayitem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmagicbookstock,,extract,CAItem,fxmagicbookstock,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmagicboxitem,,extract,CAItem,fxmagicboxitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmproductionlist,,extract,CAItem,fxmmproductionlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmproductionreward,,extract,CAItem,fxmmproductionreward,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmproductionstufflist,,extract,CAItem,fxmmproductionstufflist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmresolutionexceptlist,,extract,CAItem,fxmmresolutionexceptlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmresolutionmenu,,extract,CAItem,fxmmresolutionmenu,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmresolutionreward,,extract,CAItem,fxmmresolutionreward,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmresolutionrewardprob,,extract,CAItem,fxmmresolutionrewardprob,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmsynthesisexceptlist,,extract,CAItem,fxmmsynthesisexceptlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmsynthesisreward,,extract,CAItem,fxmmsynthesisreward,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxmmsynthesisrewardprob,,extract,CAItem,fxmmsynthesisrewardprob,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxnotimestopitem,,extract,CAItem,fxnotimestopitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxofflineprizelist,,extract,CAItem,fxofflineprizelist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxofflineprizewinnerlist,,extract,CAItem,fxofflineprizewinnerlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxpackagemap,,extract,CAItem,fxpackagemap,,,,,,,,,套裝相關資料表(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxpremiumlist,,extract,CAItem,fxpremiumlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxpresentlist,,extract,CAItem,fxpresentlist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxqcouponmap,,extract,CAItem,fxqcouponmap,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrentitem,,extract,CAItem,fxrentitem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrewarditem,,extract,CAItem,fxrewarditem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrewarditemrenew,,extract,CAItem,fxrewarditemrenew,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrewardleveltable,,extract,CAItem,fxrewardleveltable,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrpgitemstat,,extract,CAItem,fxrpgitemstat,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrpgitemupgrade,,extract,CAItem,fxrpgitemupgrade,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAItem,fxrpgitemupgradematerial,,extract,CAItem,fxrpgitemupgradematerial,,,,,,,,,尚未確定(小於500K),
