﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,FxGachaponItemListSet,96,0,0,0
dbo,FxGCouponAddAmount,6,0,0,0
dbo,FxItem,4736,0,0,0
dbo,fxitembackup,0,0,0,0
dbo,FxItemExtraAttr,7,0,0,0
dbo,FxItemExtraAttrmMap,0,0,0,0
dbo,FxItemHistory,0,0,0,0
dbo,FxItemNew,0,0,0,0
dbo,FxLimitedItem,0,0,0,0
dbo,FxLimitedItemWinnerList,0,0,0,0
dbo,FxLimitedMagicBoxItem,278,0,0,0
dbo,FxLobbySquareDisplayItem,0,0,0,0
dbo,FxMagicBookStock,6,0,0,0
dbo,FxMagicBoxItem,1921,0,0,0
dbo,FxMMProductionList,11,0,0,0
dbo,FxMMProductionReward,27,0,0,0
dbo,FxMMProductionStuffList,21,0,0,0
dbo,FxMMResolutionExceptList,30,0,0,0
dbo,FxMMResolutionMenu,3,0,0,0
dbo,FxMMResolutionReward,3,0,0,0
dbo,FxMMResolutionRewardProb,7,0,0,0
dbo,FxMMSynthesisExceptList,46,0,0,0
dbo,FxMMSynthesisReward,15,0,0,0
dbo,FxMMSynthesisRewardProb,15,0,0,0
dbo,FxNoTimeStopItem,1,0,0,0
dbo,FxOfflinePrizeList,14,0,0,0
dbo,FxOfflinePrizeWinnerList,28,0,0,0
dbo,fxpackagemap,2628,0,0,0
dbo,FxPremiumList,10,0,0,0
dbo,FxPresentList,10,0,0,0
dbo,FxQCouponMap,10,0,0,0
dbo,FxRentItem,0,0,0,0
dbo,FxRewardItem,4366,0,0,0
dbo,FxRewardItemRenew,4586,0,0,0
dbo,FxRewardLevelTable,24,0,0,0
dbo,FxRpgItemStat,249,0,0,0
dbo,FxRPGItemUpgrade,348,0,0,0
dbo,FxRPGItemUpgradeMaterial,348,0,0,0
dbo,FxRPGResellItem,25,0,0,0
dbo,FxRPGStatOverrideItem,2,0,0,0
dbo,FxSetItem,0,0,0,0
dbo,FxShopCategory,42,0,0,0
dbo,FxShopItemInfo,394,0,0,0
dbo,FxStatOverrideItem,15,0,0,0
dbo,fxstock,5660,0,0,0
dbo,fxstock_20123015,4058,0,0,0
dbo,FxStockChangeLog,0,0,0,0
dbo,FxStockNew,0,0,0,0
dbo,FxStockReal,0,0,0,0
dbo,FxString,695,0,0,0
dbo,FxTimeGiftItem,35,0,0,0
dbo,FxTLShopLimitedItem,0,0,0,0
dbo,FxTLShopStock,532,0,0,0
dbo,jerry_20200311_tmp,110,0,0,0
dbo,jerry_20200311_tmp_config,110,0,0,0
dbo,ShopOrderLog,140,0,0,0
dbo,SpecialTournamentReward,204,0,0,0
dbo,SpecialTournamentWinnerRecord,800,0,0,0
dbo,tmp_FxGachaponItemList_20071213,232,0,0,0
dbo,概率表,907,0,0,0
dbo,聖誕樂爆卡概率表,302,0,0,0
dbo,__FxItem_2018_07_01,4146,0,0,0
dbo,__FxStock_2018_07_01,5068,0,0,0
dbo,BAK_Fxstock,0,0,0,0
dbo,CAItem_Desc,25,0,0,0
dbo,FxBasketInfo,11,0,0,0
dbo,FxBattlePoint,0,0,0,0
dbo,FxBattleRewardItem,122,0,0,0
dbo,FxBattleRewardProb,7,0,0,0
dbo,FxBonusMap,993,0,0,0
dbo,FxBonusMapRewardItem,73,0,0,0
dbo,FxBundleGachapon,6,0,0,0
dbo,FxCategories,31,0,0,0
dbo,FxCategories2,30,0,0,0
dbo,FxCoupleAnniversaryPresent,3,0,0,0
dbo,FxCouponMap,0,0,0,0
dbo,FxDailyMissionStock,13,0,0,0
dbo,FxDTTGachaponItem,121,0,0,0
dbo,FxDTTPointRewardItem,6,0,0,0
dbo,FxDTTRemainLimitedItem,0,0,0,0
dbo,FxElecDisplayColorInfo,0,0,0,0
dbo,FxExItemMap,0,0,0,0
dbo,FxForceDeleteItem,3,0,0,0
dbo,fxFxpackagemap0110,2004,0,0,0
dbo,FxGachaponBonusGaugeItem,0,0,0,0
dbo,FxGachaponItemDisplay,10,0,0,0
dbo,FxGachaponItemList,19270,1,1,0
dbo,FxBundleGachaponWinnerList,417463,20,20,0
