﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_CAMarket,dbo,MarketSellItems,SellSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,ItemSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,UserSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,UserID,4,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAMarket,dbo,MarketSellItems,Price,5,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,OrigPrice,6,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,Fee,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,DateUntil,8,(getdate() + 10),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,Status,9,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSellItems,DateCreated,10,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CAMarket,dbo,MarketSoldItemNotify,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSoldItemNotify,UserSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSoldItemNotify,ItemSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketSoldItemNotify,Price,4,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUser,UserSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUser,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAMarket,dbo,MarketUser,Lucci,3,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUser,IsBlocked,4,(0),NO,bit,,,,,,,,,,,,,,,
20200807_CAMarket,dbo,MarketUser,DateUntil,5,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,UserSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,Type,3,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,MLucciBefore,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,MLucciDelta,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,MLucciAfter,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,UserLucci,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,Status,8,(1),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,MarketUserLucciLog,DateCreated,9,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CAMarket,dbo,FxCAPoint,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_CAMarket,dbo,FxCAPoint,CAPoint,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,FxCAPoint,CAGivenPoint,3,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,FxMarketSellMagicBooks,SellSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CAMarket,dbo,FxMarketSellMagicBooks,UserID,2,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CAMarket,dbo,FxMarketSellMagicBooks,MaterialSN1,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
