type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxcapoint,,extract,CAMarket,fxcapoint,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxcapoint20131128,,extract,CAMarket,fxcapoint20131128,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxcapoint20140109,,extract,CAMarket,fxcapoint20140109,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxitem,,extract,CAMarket,fxitem,,,,,,,,,從商城道具copy過來的副本(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxlimitedmagicboxitem,,extract,CAMarket,fxlimitedmagicboxitem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmagicbookstock,,extract,CAMarket,fxmagicbookstock,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmagicboxexcludeitem,,extract,CAMarket,fxmagicboxexcludeitem,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmagicboxitem,,extract,CAMarket,fxmagicboxitem,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmarketsellmagicbooks,,extract,CAMarket,fxmarketsellmagicbooks,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmarketsellmagicbooks20131114,,extract,CAMarket,fxmarketsellmagicbooks20131114,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmarketsellmagicbooks20131226,,extract,CAMarket,fxmarketsellmagicbooks20131226,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,fxusermagicbooks,,extract,CAMarket,fxusermagicbooks,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketbuyitemlog,,extract,CAMarket,marketbuyitemlog,,,,,,,,,玩家(買方)購買紀錄(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketerrorcode,,extract,CAMarket,marketerrorcode,,,,,,,,,紀錄買賣錯誤時的LOG(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketexcludeitem,,extract,CAMarket,marketexcludeitem,,,,,,,,,禁止拍賣的名單(此名單中的SN會配排程將CAMarket中FXItem的相同SN刪除(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketitem,,extract,CAMarket,marketitem,,,,,,,,,商品的拍賣位置(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketsellallitems,,extract,CAMarket,marketsellallitems,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketsellitemstatus,,extract,CAMarket,marketsellitemstatus,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,CAMarket,marketuser,,extract,CAMarket,marketuser,,,,,,,,,"拍賣玩家資料,於第一次登入後,即會在此保留UserSN(並不會與UserAccount同步)(大於10M)",
log,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmagicbookmarketbuylog,,extract,CAMarket,fxmagicbookmarketbuylog,,datecreated,datecreated,0,1,,,,尚未確定(大於1M),
log,1,bnb,2019-12-01,,,,,,all,CAMarket,fxmagicboxuselog,,extract,CAMarket,fxmagicboxuselog,,logtime,logtime,0,1,,,,尚未確定(大於1M),
log,1,bnb,2019-12-01,,,,,,all,CAMarket,marketerrorlog,,extract,CAMarket,marketerrorlog,,datecreated,datecreated,0,1,,,,給MarketErrorLog對應SPErrNo的系統錯誤的訊息(大於10G),
log,1,bnb,2019-12-01,,,,,,all,CAMarket,marketsellitems,,extract,CAMarket,marketsellitems,,datecreated,datecreated,0,1,,,,玩家拍賣的商品登入(購買拍賣卷並登入後即會產生)(大於100M),
log,1,bnb,2019-12-01,,,,,,all,CAMarket,marketuserluccilog,,extract,CAMarket,marketuserluccilog,,datecreated,datecreated,0,1,,,,尚未確定(大於100M),
