﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,FxCAPoint20140109,25968,0,0,0
dbo,FxCAPointBackUp,5231,0,0,0
dbo,FxItem,2842,0,0,0
dbo,FxLimitedMagicBoxItem,0,0,0,0
dbo,FxMagicBookStock,6,0,0,0
dbo,FxMagicBoxExcludeItem,0,0,0,0
dbo,FxMagicBoxItem,2168,0,0,0
dbo,FxMarketSellMagicBooks,2150,0,0,0
dbo,FxMarketSellMagicBooks20131114,5117,0,0,0
dbo,FxMarketSellMagicBooks20131226,2445,0,0,0
dbo,catmp,5981,0,0,0
dbo,FxCAPoint,1011,0,0,0
dbo,MarketErrorCode,24,0,0,0
dbo,MarketExcludeItem,956,0,0,0
dbo,MarketItem,2121,0,0,0
dbo,MarketSellItemStatus,9,0,0,0
dbo,MarketSoldItemNotify,3317,1,1,0
dbo,FxCAPoint20131128,60027,1,1,0
dbo,FxMagicBoxUseLog,73973,4,4,0
dbo,FxMagicBookMarketBuyLog,49223,5,5,0
dbo,MarketUser,205416,12,12,0
dbo,FxUserMagicBooks,169098,20,20,0
dbo,MarketBuyItemLog,833153,49,44,4
dbo,MarketSellAllItems,1341977,74,74,0
dbo,MarketSellItems,1196011,123,119,3
dbo,MarketUserLucciLog,5916401,395,387,8
dbo,MarketErrorLog,844062524,51179,51179,0
