﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_CARankey,dbo,Rank_IDListToConvert,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,SchoolCode,Code,1,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,SchoolCode,Name,2,,YES,varchar,255.0,255.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,SchoolCode,Type,3,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_Config,NAME,1,,NO,varchar,255.0,255.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,Sys_Config,VALUE,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_ExceptID,ID,1,,NO,varchar,16.0,16.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,Sys_ExceptSchool,SchoolCode,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_LevelMap,Level,1,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_LevelMap,Exp,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_RankDate,Type,1,,NO,varchar,255.0,255.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,Sys_RankDate,LastDate,2,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_CARankey,dbo,Sys_SchoolCode,Code,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_SchoolCode,Type,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,Sys_SchoolCode,Name,3,,NO,varchar,255.0,255.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,TTT,xxx,1,,NO,varchar,10.0,10.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,UserAccount,ID,1,,NO,varchar,16.0,16.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,UserAccount,Name,2,,NO,varchar,16.0,16.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_CARankey,dbo,UserAccount,GuildSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,UserAccount,SchoolCode,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,CA_MRank,Rank,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CARankey,dbo,CA_MRank,ID,2,,NO,varchar,16.0,16.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
