type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank,,extract,CARankey,ca_rank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank_gametype,,extract,CARankey,ca_rank_gametype,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank_inschool,,extract,CARankey,ca_rank_inschool,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank_ladder,,extract,CARankey,ca_rank_ladder,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank_school,,extract,CARankey,ca_rank_school,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ca_rank_theme,,extract,CARankey,ca_rank_theme,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,exceptid,,extract,CARankey,exceptid,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,fxuserdynamic,,extract,CARankey,fxuserdynamic,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,levelmap,,extract,CARankey,levelmap,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,rank_idlisttoconvert,,extract,CARankey,rank_idlisttoconvert,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,schoolcode,,extract,CARankey,schoolcode,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_config,,extract,CARankey,sys_config,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_exceptid,,extract,CARankey,sys_exceptid,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_exceptschool,,extract,CARankey,sys_exceptschool,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_levelmap,,extract,CARankey,sys_levelmap,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_rankdate,,extract,CARankey,sys_rankdate,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,sys_schoolcode,,extract,CARankey,sys_schoolcode,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,ttt,,extract,CARankey,ttt,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,CARankey,useraccount,,extract,CARankey,useraccount,,,,,,,,,尚未確定(0M),
