schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,CA_Rank,0,0,0,0
dbo,CA_Rank_GameType,0,0,0,0
dbo,CA_Rank_InSchool,0,0,0,0
dbo,CA_Rank_Ladder,0,0,0,0
dbo,CA_Rank_School,0,0,0,0
dbo,CA_Rank_Theme,0,0,0,0
dbo,CARankGameType_Old,0,0,0,0
dbo,CARankTheme_Old,0,0,0,0
dbo,ExceptID,0,0,0,0
dbo,FxUserDynamic,0,0,0,0
dbo,LevelMap,0,0,0,0
dbo,Rank_IDListToConvert,0,0,0,0
dbo,SchoolCode,0,0,0,0
dbo,Sys_Config,0,0,0,0
dbo,Sys_ExceptID,0,0,0,0
dbo,Sys_ExceptSchool,0,0,0,0
dbo,Sys_LevelMap,0,0,0,0
dbo,Sys_RankDate,0,0,0,0
dbo,Sys_SchoolCode,0,0,0,0
dbo,TTT,0,0,0,0
dbo,UserAccount,0,0,0,0
