﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_CASchool,dbo,dtproperties,BASE TABLE
20200807_CASchool,dbo,MajorCode,BASE TABLE
20200807_CASchool,dbo,SchoolCode,BASE TABLE
20200807_CASchool,dbo,SchoolCode_,BASE TABLE
20200807_CASchool,dbo,UnivMajorList,BASE TABLE
20200807_CASchool,dbo,_MajorCode,BASE TABLE
20200807_CASchool,dbo,_SchoolCode,BASE TABLE
20200807_CASchool,dbo,_UnivMajorList,BASE TABLE
20200807_CASchool,dbo,tblSchool,BASE TABLE
20200807_CASchool,dbo,tblSchool_20050603,BASE TABLE
