﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_CATaiwanStat,dbo,user_stat,sdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat,current,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat,peak,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat,Domain,4,((1)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,sdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,current,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,peak,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,Domain,4,((1)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,Total,5,((0)),YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,user_stat_day,connection,6,((0)),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,bnb_ccu,kdate,1,,YES,nvarchar,30.0,60.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CATaiwanStat,dbo,bnb_ccu,current,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,bnb_ccu_week,keydate,1,,YES,nvarchar,30.0,60.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CATaiwanStat,dbo,bnb_ccu_week,usercount,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_CATaiwanStat,dbo,bnb_ccu_month,keydate,1,,YES,nvarchar,7.0,14.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_CATaiwanStat,dbo,bnb_ccu_month,usercount,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
