TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200724_Coupon,dbo,tmp_coupon,SN,1,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,tmp_coupon,Event_id,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,tmp_coupon,Package_id,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,GUID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,SN,2,,NO,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2018,Package_id,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,Event_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,Game_Account,5,,YES,varchar,30.0,30.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2018,Flag,6,,NO,varchar,1.0,1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2018,Createdate,7,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,Changedate,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200724_Coupon,dbo,Coupon_2018,Updatedate,9,,YES,datetime,,,,,,3.0,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,GUID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,SN,2,,NO,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2019,Package_id,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,Event_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,Game_Account,5,,YES,varchar,30.0,30.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2019,Flag,6,,NO,varchar,1.0,1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Coupon,dbo,Coupon_2019,Createdate,7,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,Changedate,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200724_Coupon,dbo,Coupon_2019,Updatedate,9,,YES,datetime,,,,,,3.0,,,,,,,,,
