TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200724_Coupon,dbo,tmp_coupon,BASE TABLE
20200724_Coupon,dbo,Coupon_2018,BASE TABLE
20200724_Coupon,dbo,Coupon_2019,BASE TABLE
20200724_Coupon,dbo,Event_data,BASE TABLE
20200724_Coupon,dbo,tmp_20080508,BASE TABLE
20200724_Coupon,dbo,Coupon_2011,BASE TABLE
20200724_Coupon,dbo,Coupon_2011_0414,BASE TABLE
20200724_Coupon,dbo,Coupon_2012,BASE TABLE
20200724_Coupon,dbo,Coupon_2013,BASE TABLE
20200724_Coupon,dbo,Item_Package,BASE TABLE
20200724_Coupon,dbo,Coupon_2015,BASE TABLE
20200724_Coupon,dbo,Item_Package_bak_20151117,BASE TABLE
20200724_Coupon,dbo,Coupon_2016,BASE TABLE
20200724_Coupon,dbo,Coupon_2017,BASE TABLE
20200724_Coupon,dbo,dtproperties,BASE TABLE
