type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxallladderdynamic,,extract,LadderInfo,fxallladderdynamic,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxallladderrank,,extract,LadderInfo,fxallladderrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxdropwpconfig,,extract,LadderInfo,fxdropwpconfig,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxgradeconfig,,extract,LadderInfo,fxgradeconfig,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic,,extract,LadderInfo,fxladderdynamic,,,,,,,,,玩家人物段位相關資料(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic190704,,extract,LadderInfo,fxladderdynamic190704,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic190930,,extract,LadderInfo,fxladderdynamic190930,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic20130627,,extract,LadderInfo,fxladderdynamic20130627,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic20130926,,extract,LadderInfo,fxladderdynamic20130926,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic20181004,,extract,LadderInfo,fxladderdynamic20181004,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic20190103,,extract,LadderInfo,fxladderdynamic20190103,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamic20190403,,extract,LadderInfo,fxladderdynamic20190403,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderdynamicresetlog,,extract,LadderInfo,fxladderdynamicresetlog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladdergenerated,,extract,LadderInfo,fxladdergenerated,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderhighrank,,extract,LadderInfo,fxladderhighrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderpenalty,,extract,LadderInfo,fxladderpenalty,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderrankchanges,,extract,LadderInfo,fxladderrankchanges,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderrankupdated,,extract,LadderInfo,fxladderrankupdated,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderseasoninfo,,extract,LadderInfo,fxladderseasoninfo,,,,,,,,,段位賽季節列表(小於500K),
all,1,bnb,2019-12-01,,,,,,all,LadderInfo,fxladderseasoninfo2,,extract,LadderInfo,fxladderseasoninfo2,,,,,,,,,尚未確定(小於500K),
