﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_LadderInfo,dbo,FxLadderDynamic20181004,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderRankOld20130627,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic190930,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_1,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_2,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_3,BASE TABLE
20200807_LadderInfo,dbo,ErrID,VIEW
20200807_LadderInfo,dbo,tmp_Ladder201103_4,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_5,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderRank,BASE TABLE
20200807_LadderInfo,dbo,dtproperties,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_6,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_7,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_8,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_9,BASE TABLE
20200807_LadderInfo,dbo,tmp_Ladder201103_10,BASE TABLE
20200807_LadderInfo,dbo,tmp_FxLadderRankUpdated,BASE TABLE
20200807_LadderInfo,dbo,FxLadderRankUpdated,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderDynamicOld20130926,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic20130926,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderRankOld20130926,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic190704,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic20190403,BASE TABLE
20200807_LadderInfo,dbo,FxLadderRankOld,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic20190103,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderDynamicOld,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderDynamic,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderRankOld,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamicResetLog,BASE TABLE
20200807_LadderInfo,dbo,fxLadderHighRank,BASE TABLE
20200807_LadderInfo,dbo,FxLadderPenalty,BASE TABLE
20200807_LadderInfo,dbo,FxLadderRankChanges,BASE TABLE
20200807_LadderInfo,dbo,FxLadderRankOld2,BASE TABLE
20200807_LadderInfo,dbo,FxLadderSeasonInfo,BASE TABLE
20200807_LadderInfo,dbo,FxLadderSeasonInfo2,BASE TABLE
20200807_LadderInfo,dbo,FxDropWPConfig,BASE TABLE
20200807_LadderInfo,dbo,FxGradeConfig,BASE TABLE
20200807_LadderInfo,dbo,FxLadderGenerated,BASE TABLE
20200807_LadderInfo,dbo,FxAllLadderDynamicOld20130627,BASE TABLE
20200807_LadderInfo,dbo,FxLadderDynamic20130627,BASE TABLE
20200807_LadderInfo,dbo,FxLadderRankOld20130627,BASE TABLE
