﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,FxAllLadderDynamic,0,0,0,0
dbo,FxAllLadderRank,0,0,0,0
dbo,FxLadderDynamic190704,16926,0,0,0
dbo,FxLadderDynamic190930,13384,0,0,0
dbo,FxDropWPConfig,0,0,0,0
dbo,FxGradeConfig,0,0,0,0
dbo,FxLadderGenerated,0,0,0,0
dbo,fxLadderHighRank,0,0,0,0
dbo,FxLadderPenalty,0,0,0,0
dbo,FxLadderRankChanges,0,0,0,0
dbo,FxLadderDynamic20190403,19515,0,0,0
dbo,FxLadderRankOld2,0,0,0,0
dbo,FxLadderRankUpdated,12926,0,0,0
dbo,FxLadderSeasonInfo,29,0,0,0
dbo,FxLadderSeasonInfo2,2,0,0,0
dbo,tmp_FxLadderRankUpdated,12918,0,0,0
dbo,tmp_Ladder201103_1,21063,0,0,0
dbo,tmp_Ladder201103_10,66,0,0,0
dbo,tmp_Ladder201103_2,10018,0,0,0
dbo,tmp_Ladder201103_3,8078,0,0,0
dbo,tmp_Ladder201103_4,4968,0,0,0
dbo,tmp_Ladder201103_5,2403,0,0,0
dbo,tmp_Ladder201103_6,1338,0,0,0
dbo,tmp_Ladder201103_7,574,0,0,0
dbo,tmp_Ladder201103_8,288,0,0,0
dbo,tmp_Ladder201103_9,78,0,0,0
dbo,FxLadderDynamic,12927,1,0,0
dbo,FxLadderDynamic20181004,40880,1,1,0
dbo,FxLadderDynamic20190103,27636,1,1,0
dbo,FxAllLadderRankOld,40880,1,1,0
dbo,FxAllLadderDynamicOld,40880,1,1,0
dbo,FxAllLadderDynamicOld20130627,67345,1,1,0
dbo,FxAllLadderDynamicOld20130926,56994,1,1,0
dbo,FxAllLadderRankOld20130627,67345,2,2,0
dbo,FxLadderDynamic20130627,56994,2,2,0
dbo,FxLadderDynamicResetLog,8500,2,0,1
dbo,FxLadderDynamic20130926,74702,3,3,0
dbo,FxAllLadderRankOld20130926,124339,4,4,0
dbo,FxLadderRankOld20130627,4605764,164,164,0
dbo,FxLadderRankOld,4873321,291,291,0
