﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_LadderRank,dbo,tmp_FxLadderSeason,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderSeason,YEAR,2,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderSeason,SEASON,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderSeason,NAME,4,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,tmp_FxLadderSeason,STATUS,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderRankOld,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,tmp_FxLadderRankOld,Rank,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderRankOld,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxLadderRankOld,SeasonNo,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200807_LadderRank,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld0107,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld0107,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld0107,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamicOld,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRankOld0107,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRankOld0107,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,FxAllLadderRankOld0107,Grade,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRankOld,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRankOld,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderRankOld,Grade,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20181220,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20181220,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20181220,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20181220,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20181220,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20130822,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20130822,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20130822,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20130822,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20130822,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190926,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190926,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190926,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190926,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190926,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxLadderRankUpdatedold,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,FxLadderRankUpdatedold,Rank,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxLadderMonthLog,LadderMonth,1,,NO,varchar,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_LadderRank,dbo,FxLadderMonthLog,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,FxLadderMonthLog,WP,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxLadderMonthLog,Grade,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,fxLadderHighRank,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,fxLadderHighRank,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_LadderRank,dbo,fxLadderHighRank,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190627,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190627,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190627,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190627,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190627,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190328,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190328,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderDynamic_20190328,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190328,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,FxAllLadderRank_20190328,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summer,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summer,WP,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summer,Grade,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxAllLadderRank,Rank,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_LadderRank,dbo,tmp_FxAllLadderRank,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summ,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS_WS,,,
