﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_LadderRank,dbo,tmp_FxLadderSeason,BASE TABLE
20200807_LadderRank,dbo,tmp_FxLadderRankOld,BASE TABLE
20200807_LadderRank,dbo,dtproperties,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamicOld0107,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamicOld,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRankOld0107,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRankOld,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20181220,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20181220,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20130822,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20130822,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20190926,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20190926,BASE TABLE
20200807_LadderRank,dbo,FxLadderRankUpdatedold,BASE TABLE
20200807_LadderRank,dbo,FxLadderMonthLog,BASE TABLE
20200807_LadderRank,dbo,fxLadderHighRank,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20190627,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20190627,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20190328,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20190328,BASE TABLE
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summer,BASE TABLE
20200807_LadderRank,dbo,tmp_FxAllLadderRank,BASE TABLE
20200807_LadderRank,dbo,tmp_FxAllLadderDynamic_2007_Summ,BASE TABLE
20200807_LadderRank,dbo,tmp_FxAllLadderRank_2007_Summer,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamicOld_20181218,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRankOld_20181218,BASE TABLE
20200807_LadderRank,dbo,FxLadderSeasonInfo,BASE TABLE
20200807_LadderRank,dbo,FxLadderSeasonInfo2,BASE TABLE
20200807_LadderRank,dbo,tmp_FxLadderDynamic,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderDynamic_20130815,BASE TABLE
20200807_LadderRank,dbo,FxAllLadderRank_20130815,BASE TABLE
