﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,FxAllLadderDynamic_20181220,27623,0,0,0
dbo,FxAllLadderDynamic_20190328,19451,0,0,0
dbo,FxAllLadderDynamic_20190627,16916,0,0,0
dbo,FxAllLadderDynamic_20190926,13356,0,0,0
dbo,FxAllLadderDynamicOld,27636,0,0,0
dbo,FxAllLadderDynamic,12926,0,0,0
dbo,FxAllLadderRank,12926,0,0,0
dbo,FxAllLadderRank_20181220,27623,0,0,0
dbo,FxAllLadderRank_20190328,19451,0,0,0
dbo,FxAllLadderRank_20190627,16916,0,0,0
dbo,FxAllLadderRank_20190926,13356,0,0,0
dbo,FxAllLadderRankOld,27636,0,0,0
dbo,FxLadderRankUpdatedold,18113,0,0,0
dbo,FxLadderSeasonInfo,19,0,0,0
dbo,FxLadderSeasonInfo2,28,0,0,0
dbo,fxLadderHighRank,0,0,0,0
dbo,tmp_FxLadderDynamic,12926,0,0,0
dbo,tmp_FxLadderSeason,28,0,0,0
dbo,FxAllLadderRank_20130815,53208,1,1,0
dbo,FxAllLadderRank_20130822,58360,1,1,0
dbo,FxAllLadderDynamic_20130815,53208,1,1,0
dbo,FxAllLadderDynamic_20130822,58360,1,1,0
dbo,FxAllLadderDynamicOld_20181218,156081,4,4,0
dbo,FxAllLadderRankOld_20181218,156081,4,4,0
dbo,FxAllLadderDynamicOld0107,303412,7,7,0
dbo,FxAllLadderRankOld0107,303412,8,8,0
dbo,tmp_FxAllLadderDynamic_2007_Summ,334370,8,8,0
dbo,tmp_FxAllLadderDynamic_2007_Summer,334370,8,8,0
dbo,tmp_FxAllLadderRank,334370,8,8,0
dbo,tmp_FxAllLadderRank_2007_Summer,334370,8,8,0
dbo,FxLadderMonthLog,4531486,152,152,0
dbo,tmp_FxLadderRankOld,4873321,164,164,0
