TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200724_Nxcom_Messenger,dbo,dtproperties,BASE TABLE
20200724_Nxcom_Messenger,dbo,BlackList,BASE TABLE
20200724_Nxcom_Messenger,dbo,CategoryList,BASE TABLE
20200724_Nxcom_Messenger,dbo,FriendList,BASE TABLE
20200724_Nxcom_Messenger,dbo,PermNoteBox,BASE TABLE
20200724_Nxcom_Messenger,dbo,RequestInfo,BASE TABLE
20200724_Nxcom_Messenger,dbo,TempNoteBox,BASE TABLE
20200724_Nxcom_Messenger,dbo,UserInfo,BASE TABLE
20200724_Nxcom_Messenger,dbo,tblTemp,BASE TABLE
20200724_Nxcom_Messenger,dbo,tblTemp2,BASE TABLE
