﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_RPGDynamic,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_RPGDynamic,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_RPGDynamic,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_RPGDynamic,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200807_RPGDynamic,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,ID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,Character,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,EXP,3,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,CreationTime,4,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,LastConnectTime,5,,YES,datetime,,,,,,3.0,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGDynamic,LoginGiftDate,6,,YES,datetime,,,,,,3.0,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,QuestItemSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Character,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log1,4,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log2,5,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log3,6,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log4,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log5,8,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,Log6,9,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,State,10,(0),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGQuestLog,ShownCount,11,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGRecord,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGRecord,MapName,2,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_RPGDynamic,dbo,FxRPGRecord,PlayUsers,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_RPGDynamic,dbo,FxRPGRecord,Win,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
