﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_ServerLogDB,dbo,FxServerErrorLog,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,MultiServerIdx,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,ServerType,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,ServerIdx,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,Tag,5,,YES,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,Id,6,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,Msg,7,,NO,varchar,200.0,200.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,IdFrom,8,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,LogTime,9,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog,LogTimeDB,10,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,MultiServerIdx,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,ServerType,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,ServerIdx,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,Tag,5,,YES,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,Id,6,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,Msg,7,,NO,varchar,200.0,200.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,IdFrom,8,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,LogTime,9,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_ServerLogDB,dbo,FxServerErrorLog_20180423,LogTimeDB,10,,NO,datetime,,,,,,3.0,,,,,,,,,
20200807_ServerLogDB,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_ServerLogDB,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_ServerLogDB,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200807_ServerLogDB,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
