﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_TranxLog,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_TranxLog,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_TranxLog,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_TranxLog,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200807_TranxLog,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,tranxtmpdelete,userid,1,,YES,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_TranxLog,dbo,tranxtmpdelete,itemsn,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,tranxtmpdelete,tranxtype,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,tranxtmpdelete,datecreated,4,,YES,datetime,,,,,,3.0,,,,,,,,,
20200807_TranxLog,dbo,tranxtmpbuy,userid,1,,YES,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_TranxLog,dbo,tranxtmpbuy,itemsn,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_TranxLog,dbo,tranxtmpbuy,tranxtype,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
