﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,Account,915,0,0,0
dbo,BnBItem,2996,0,0,0
dbo,fxstock,1595,0,0,0
dbo,jerry_202003011_tmp_msg,7693,0,0,0
dbo,temp_sound,92,0,0,0
dbo,tmp_FxRPGInventoryStatLogOld,1825,0,0,0
dbo,tmp_Hammer,7215,0,0,0
dbo,tmp1,9357,0,0,0
dbo,tranxtmpbuy,70,0,0,0
dbo,Userid_Count,2,0,0,0
dbo,tranxtmpdelete,41345,1,1,0
dbo,tmp_FxTranxOld2,272826,15,15,0
dbo,FxRPGInventoryStatLogOld,43865,22,11,11
dbo,tmp_FxTranxOld,1095421,63,63,0
dbo,tmp_fxTranxOld_bak,384729,63,31,31
dbo,FxTranxOld_20190718,208571379,11577,11576,0
dbo,FxTranxOld,96167214,229697,229665,31
