type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangpenaltyhistory,,extract,UserContent,fxcajjangpenaltyhistory,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangpenaltyjoblog,,extract,UserContent,fxcajjangpenaltyjoblog,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangrank,,extract,UserContent,fxcajjangrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangrankhistory,,extract,UserContent,fxcajjangrankhistory,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangrankrewarduserlist,,extract,UserContent,fxcajjangrankrewarduserlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangresetrankuserlist,,extract,UserContent,fxcajjangresetrankuserlist,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangwebrank,,extract,UserContent,fxcajjangwebrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcajjangwebrankfinal,,extract,UserContent,fxcajjangwebrankfinal,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxcamissionrndselectlog,,extract,UserContent,fxcamissionrndselectlog,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxdailymissionpoint,,extract,UserContent,fxdailymissionpoint,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingitemhistory,,extract,UserContent,fxfishingitemhistory,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrank,,extract,UserContent,fxfishingrank,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankconfig,,extract,UserContent,fxfishingrankconfig,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankinitconfig,,extract,UserContent,fxfishingrankinitconfig,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankking,,extract,UserContent,fxfishingrankking,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingranklog,,extract,UserContent,fxfishingranklog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankmonthking,,extract,UserContent,fxfishingrankmonthking,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankreward,,extract,UserContent,fxfishingrankreward,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingrankrewardlog,,extract,UserContent,fxfishingrankrewardlog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingranktotallog,,extract,UserContent,fxfishingranktotallog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxolympicoverallrank,,extract,UserContent,fxolympicoverallrank,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxolympicrankinfo,,extract,UserContent,fxolympicrankinfo,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxolympicteampoint,,extract,UserContent,fxolympicteampoint,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxquestlogforweb,,extract,UserContent,fxquestlogforweb,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,fxusercamissionnormaldata,,extract,UserContent,fxusercamissionnormaldata,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,rewarduserlist_160516,,extract,UserContent,rewarduserlist_160516,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,rewarduserlist_160621,,extract,UserContent,rewarduserlist_160621,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserContent,rewarduserlist_171019,,extract,UserContent,rewarduserlist_171019,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserContent,surveyuserlist,,extract,UserContent,surveyuserlist,,,,,,,,,尚未確定(小於500K),
log,1,bnb,2019-12-01,,,,,,all,UserContent,fxcaferewardlog,,extract,UserContent,fxcaferewardlog,,logtime,logtime,0,1,,,,尚未確定(大於100M),
log,1,bnb,2019-12-01,,,,,,all,UserContent,fxfishingitemhistorylog,,extract,UserContent,fxfishingitemhistorylog,,logtime,logtime,0,1,,,,尚未確定(大於100M),
