TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_UserContent,dbo,FxCAJJangPenaltyHistory,BASE TABLE
20200807_UserContent,dbo,FxOlympicOverallRank_Tmp,BASE TABLE
20200807_UserContent,dbo,FxCAJJangPenaltyJobLog,BASE TABLE
20200807_UserContent,dbo,FxOlympicOverallRank,BASE TABLE
20200807_UserContent,dbo,FxCAJJangRank,BASE TABLE
20200807_UserContent,dbo,dtproperties,BASE TABLE
20200807_UserContent,dbo,FxCAMissionRndSelectLog,BASE TABLE
20200807_UserContent,dbo,FxUserCAMissionNormalData,BASE TABLE
20200807_UserContent,dbo,FxCAJJangRankHistory,BASE TABLE
20200807_UserContent,dbo,FxCAJJangRankRewardUserList,BASE TABLE
20200807_UserContent,dbo,FxCAJJangWebRank,BASE TABLE
20200807_UserContent,dbo,RewardUserList_2019Ladder,BASE TABLE
20200807_UserContent,dbo,FxCAJJangWebRankFinal,BASE TABLE
20200807_UserContent,dbo,_20130801_FxOlympicRankInfo,BASE TABLE
20200807_UserContent,dbo,_20130801_FxOlympicOverallRank,BASE TABLE
20200807_UserContent,dbo,_20130801_FxOlympicTeamPoint,BASE TABLE
20200807_UserContent,dbo,_20130808_FxOlympicRankInfo,BASE TABLE
20200807_UserContent,dbo,_20130808_FxOlympicOverallRank,BASE TABLE
20200807_UserContent,dbo,_20130808_FxOlympicTeamPoint,BASE TABLE
20200807_UserContent,dbo,_20130815_FxOlympicRankInfo,BASE TABLE
20200807_UserContent,dbo,_20130815_FxOlympicOverallRank,BASE TABLE
20200807_UserContent,dbo,_20130815_FxOlympicTeamPoint,BASE TABLE
20200807_UserContent,dbo,_20130822_FxOlympicRankInfo,BASE TABLE
20200807_UserContent,dbo,_20130822_FxOlympicOverallRank,BASE TABLE
20200807_UserContent,dbo,_20130822_FxOlympicTeamPoint,BASE TABLE
20200807_UserContent,dbo,FxCafeRewardLog,BASE TABLE
20200807_UserContent,dbo,FxFishingItemHistoryLog,BASE TABLE
20200807_UserContent,dbo,FxFishingRank,BASE TABLE
20200807_UserContent,dbo,FxFishingRankConfig,BASE TABLE
20200807_UserContent,dbo,FxFishingRankInitConfig,BASE TABLE
20200807_UserContent,dbo,FxFishingRankKing,BASE TABLE
20200807_UserContent,dbo,FxFishingRankLog,BASE TABLE
20200807_UserContent,dbo,FxCAJJangResetRankUserList,BASE TABLE
20200807_UserContent,dbo,FxFishingRankMonthKing,BASE TABLE
20200807_UserContent,dbo,FxFishingRankRewardLog,BASE TABLE
20200807_UserContent,dbo,FxFishingRankTotalLog,BASE TABLE
20200807_UserContent,dbo,FxDailyMissionPoint,BASE TABLE
20200807_UserContent,dbo,FxDailyMissionPointBackup,BASE TABLE
20200807_UserContent,dbo,FxFishingRankReward,BASE TABLE
20200807_UserContent,dbo,FxFishingItemHistory,BASE TABLE
20200807_UserContent,dbo,SurveyUserList,BASE TABLE
20200807_UserContent,dbo,RewardUserList_160516,BASE TABLE
20200807_UserContent,dbo,RewardUserList_160621,BASE TABLE
20200807_UserContent,dbo,FxQuestLogForWeb,BASE TABLE
20200807_UserContent,dbo,RewardUserList_2018Ladder,BASE TABLE
20200807_UserContent,dbo,RewardUserList_171019,BASE TABLE
20200807_UserContent,dbo,FxOlympicRankInfo,BASE TABLE
20200807_UserContent,dbo,RewardUserList_201904Ladder,BASE TABLE
20200807_UserContent,dbo,FxOlympicTeamPoint,BASE TABLE
