﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,_20130801_FxOlympicTeamPoint,6,0,0,0
dbo,_20130808_FxOlympicTeamPoint,10,0,0,0
dbo,_20130815_FxOlympicTeamPoint,10,0,0,0
dbo,FxCAJJangPenaltyHistory,0,0,0,0
dbo,FxCAJJangPenaltyJobLog,0,0,0,0
dbo,FxCAJJangRank,0,0,0,0
dbo,FxCAJJangRankHistory,0,0,0,0
dbo,FxCAJJangRankRewardUserList,0,0,0,0
dbo,FxCAJJangResetRankUserList,0,0,0,0
dbo,FxCAJJangWebRank,0,0,0,0
dbo,FxCAJJangWebRankFinal,0,0,0,0
dbo,FxCAMissionRndSelectLog,2982,0,0,0
dbo,_20130822_FxOlympicTeamPoint,10,0,0,0
dbo,FxDailyMissionPointBackup,0,0,0,0
dbo,FxFishingItemHistory,34,0,0,0
dbo,FxFishingRank,400,0,0,0
dbo,FxFishingRankConfig,2,0,0,0
dbo,FxFishingRankInitConfig,55,0,0,0
dbo,FxFishingRankKing,101,0,0,0
dbo,FxFishingRankMonthKing,60,0,0,0
dbo,FxFishingRankReward,10,0,0,0
dbo,FxOlympicOverallRank,0,0,0,0
dbo,FxOlympicOverallRank_Tmp,0,0,0,0
dbo,FxOlympicRankInfo,0,0,0,0
dbo,FxOlympicTeamPoint,0,0,0,0
dbo,RewardUserList_171019,306,0,0,0
dbo,RewardUserList_2018Ladder,3338,0,0,0
dbo,RewardUserList_201904Ladder,5064,0,0,0
dbo,RewardUserList_2019Ladder,4365,0,0,0
dbo,SurveyUserList,494,0,0,0
dbo,FxUserCAMissionNormalData,0,0,0,0
dbo,RewardUserList_160516,1234,0,0,0
dbo,RewardUserList_160621,33404,1,1,0
dbo,FxFishingRankLog,27529,1,1,0
dbo,_20130822_FxOlympicOverallRank,25158,1,1,0
dbo,_20130822_FxOlympicRankInfo,25231,1,1,0
dbo,_20130815_FxOlympicOverallRank,28465,1,1,0
dbo,_20130815_FxOlympicRankInfo,28525,1,1,0
dbo,_20130808_FxOlympicOverallRank,31556,1,1,0
dbo,_20130808_FxOlympicRankInfo,31556,1,1,0
dbo,_20130801_FxOlympicOverallRank,55927,2,2,0
dbo,_20130801_FxOlympicRankInfo,56043,2,2,0
dbo,FxDailyMissionPoint,47108,2,1,0
dbo,FxQuestLogForWeb,34214,2,2,0
dbo,FxFishingRankRewardLog,67254,3,2,0
dbo,FxFishingRankTotalLog,172020,9,8,1
dbo,FxCafeRewardLog,2213805,129,129,0
dbo,FxFishingItemHistoryLog,4318743,189,189,0
