﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_UserInfo01,dbo,AccountExp01,TEL,1,,NO,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,AccountExp01,ID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserInfo01,dbo,AccountExp01,EXP,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionNormalData,UserId,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserCAMissionNormalData,MissionSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionNormalData,Count,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionNormalData,IsReward,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionNormalData,UpdateDate,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionDailyData,UserId,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserCAMissionDailyData,MissionSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionDailyData,Count,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionDailyData,IsReward,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserCAMissionDailyData,UpdateDate,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,ID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserInfo01,dbo,FxUserAccount,NAME,3,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,PASSWORD,4,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,SSN1,5,('0'),NO,char,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,SSN2,6,('0'),NO,char,7.0,7.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,EMAIL,7,(''),NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,GENDER,8,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,ADDRESS,9,(''),NO,varchar,72.0,72.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,TEL,10,(''),NO,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,REVEAL,11,('0'),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,PROFILE,12,(''),NO,varchar,264.0,264.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInfo01,dbo,FxUserAccount,TOTALCONN,13,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,LASTCONN,14,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,PERMISSION,15,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInfo01,dbo,FxUserAccount,GuildSn,16,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
