type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,UserInfo,badnickname,,extract,UserInfo,badnickname,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fall01,,extract,UserInfo,fall01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,falldata01,,extract,UserInfo,falldata01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxblacklist,,extract,UserInfo,fxblacklist,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxcouple,,extract,UserInfo,fxcouple,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxkartevent,,extract,UserInfo,fxkartevent,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxregulation,,extract,UserInfo,fxregulation,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxschoolzzang,,extract,UserInfo,fxschoolzzang,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxspeakerlog,,extract,UserInfo,fxspeakerlog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxuserblocking,,extract,UserInfo,fxuserblocking,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxusercamissiondailydata,,extract,UserInfo,fxusercamissiondailydata,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxusercamissionnormaldata,,extract,UserInfo,fxusercamissionnormaldata,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxusercomments,,extract,UserInfo,fxusercomments,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,fxuserconn,,extract,UserInfo,fxuserconn,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,gloveflower01,,extract,UserInfo,gloveflower01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,homerun01,,extract,UserInfo,homerun01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,log_password,,extract,UserInfo,log_password,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,lovecountry01,,extract,UserInfo,lovecountry01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,loveflower01,,extract,UserInfo,loveflower01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,mission,,extract,UserInfo,mission,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,pin01,,extract,UserInfo,pin01,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInfo,pingu01,,extract,UserInfo,pingu01,,,,,,,,,尚未確定(小於500K),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,id,all,UserInfo,fxuseraccount,id,extract,UserInfo,fxuseraccount,,,,,,,,,"紀錄所有玩家帳號(密碼紀錄於GASH端,GASH端同時擁有帳號與密碼)(大於100M)",
