﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,badnickname,136,0,0,0
dbo,fall01,20319,0,0,0
dbo,FallData01,20319,0,0,0
dbo,FxBlacklist,11,0,0,0
dbo,FxCouple,0,0,0,0
dbo,FxKartEvent,0,0,0,0
dbo,FxSchoolZzang,0,0,0,0
dbo,FxUserBlocking,0,0,0,0
dbo,LoveCountry01,149,0,0,0
dbo,LoveFlower01,988,0,0,0
dbo,mission,604,0,0,0
dbo,Pin01,6234,0,0,0
dbo,Pingu01,6307,0,0,0
dbo,temp_Account,0,0,0,0
dbo,Temp_Userid,92,0,0,0
dbo,FxUserComments,11,0,0,0
dbo,GLoveFlower01,988,0,0,0
dbo,homerun01,1388,0,0,0
dbo,任務加碼,604,0,0,0
dbo,FxSpeakerLog,34494,2,1,0
dbo,tmp_userinfodata_080403,166074,6,6,0
dbo,FxUserCAMissionNormalData,348219,23,23,0
dbo,FxUserCAMissionDailyData,858769,52,52,0
dbo,FxRegulation,969893,65,59,5
dbo,FxUserConn,767953,74,70,4
dbo,Log_Password,780683,77,77,0
dbo,FxUserAccount,1879741,557,475,81
