﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_UserInventory00,dbo,GM_Inventory_Deleted,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,ItemSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,StockSN,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,Amount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,ValidityPeriod,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,ValidityLevel,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,strAttr,8,,NO,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,DateUntil,9,,YES,datetime,,,,,,3.0,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,DateCreated,10,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,Operator,11,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserInventory00,dbo,GM_Inventory_Deleted,DeletedFrom,12,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
