type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,UserInventory,countsms,,extract,UserInventory,countsms,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxcaitemcollectionmission,,extract,UserInventory,fxcaitemcollectionmission,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxcaitemcollectionrewardlog,,extract,UserInventory,fxcaitemcollectionrewardlog,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxcaitemcollectionuseritem,,extract,UserInventory,fxcaitemcollectionuseritem,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxcajjangrewardlog,,extract,UserInventory,fxcajjangrewardlog,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxcart,,extract,UserInventory,fxcart,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxdttlog,,extract,UserInventory,fxdttlog,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxemotioninventory,,extract,UserInventory,fxemotioninventory,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxluccitranx,,extract,UserInventory,fxluccitranx,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxmmproductionlog,,extract,UserInventory,fxmmproductionlog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxmmsynthesislog,,extract,UserInventory,fxmmsynthesislog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxpreinventory1202,,extract,UserInventory,fxpreinventory1202,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxpurchaserecord,,extract,UserInventory,fxpurchaserecord,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxqcouponinventory,,extract,UserInventory,fxqcouponinventory,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxsms,,extract,UserInventory,fxsms,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxtlshopbuylog,,extract,UserInventory,fxtlshopbuylog,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxtranx,,extract,UserInventory,fxtranx,,,,,,,,,紀錄玩家買賣與收送道具紀錄(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxtranx_20090702,,extract,UserInventory,fxtranx_20090702,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxupdatednoticesn,,extract,UserInventory,fxupdatednoticesn,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxuserdailymission,,extract,UserInventory,fxuserdailymission,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxuserdiybomb,,extract,UserInventory,fxuserdiybomb,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxuserinventory00_200904016,,extract,UserInventory,fxuserinventory00_200904016,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,fxuserpetinfo,,extract,UserInventory,fxuserpetinfo,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,gm_inventory_deleted,,extract,UserInventory,gm_inventory_deleted,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,log_password,,extract,UserInventory,log_password,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,lovecountry,,extract,UserInventory,lovecountry,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,sendreward,,extract,UserInventory,sendreward,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,UserInventory,userid_count,,extract,UserInventory,userid_count,,,,,,,,,尚未確定(小於500K),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,id,all,UserInventory,fxpreinventory,userid,extract,UserInventory,fxpreinventory,,,,,,,,,紀錄玩家所有未收下或拒絕的禮物(大於1G),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,user_name,all,UserInventory,fxuserdailymissionlog,userid,extract,UserInventory,fxuserdailymissionlog,,,,,,,,,尚未確定(大於100M),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,user_name,all,UserInventory,fxuserinventory,userid,extract,UserInventory,fxuserinventory,,,,,,,,,紀錄玩家身上物品(大於1G),
grammar,1,bnb,2019-12-01,,extract,init,activeaccount,user_name,all,UserInventory,fxuserpurchaseanalysis,userid,extract,UserInventory,fxuserpurchaseanalysis,,,,,,,,,尚未確定(大於100M),
log,1,bnb,2019-12-01,,,,,,all,UserInventory,fxmmresolutionlog,,extract,UserInventory,fxmmresolutionlog,,logtime,logtime,0,1,,,,尚未確定(大於1G),
