﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,CountSMS,5163,0,0,0
dbo,FxCAItemCollectionMission,112,0,0,0
dbo,FxCAItemCollectionRewardLog,113,0,0,0
dbo,_TempFxUserList_160310,19,0,0,0
dbo,ChangeShadow00,160,0,0,0
dbo,FxCAJJangRewardLog,0,0,0,0
dbo,FxDTTLog,4381,0,0,0
dbo,FxLucciTranx,0,0,0,0
dbo,FxQCouponInventory,0,0,0,0
dbo,FxTranx,1196,0,0,0
dbo,FxTranx_20090702,14026,0,0,0
dbo,FxTranxOld_bak,2005,0,0,0
dbo,FxUpdatedNoticeSn,0,0,0,0
dbo,FxTranx_Old,0,0,0,0
dbo,GM_Inventory_Deleted,595,0,0,0
dbo,Log_Password,0,0,0,0
dbo,Lovecountry,148,0,0,0
dbo,LoveCountry000,2545,0,0,0
dbo,Sendreward,1613,0,0,0
dbo,tmp_20080410,909,0,0,0
dbo,tmp_flower_00,12328,0,0,0
dbo,tmp_itemsn,291,0,0,0
dbo,Userid_Count,2,0,0,0
dbo,FxUserInventory00_200904016,201,0,0,0
dbo,cookiecomplete00,27082,1,1,0
dbo,FxUserDailyMission,4818,2,0,1
dbo,FxCart,59200,3,3,0
dbo,FxCAItemCollectionUserItem,42831,3,2,0
dbo,FxUserPetInfo,24283,3,2,1
dbo,FxUserDIYBomb,41397,6,5,0
dbo,FxMMProductionLog,171887,9,8,0
dbo,FxMMSynthesisLog,178115,9,8,1
dbo,temp_201805,293980,11,11,0
dbo,FxPreInventory1202,281259,26,26,0
dbo,FxSMS,42328,45,23,22
dbo,FxPurchaseRecord,910110,59,55,3
dbo,FxEmotionInventory,664261,66,49,16
dbo,FxTLShopBuyLog,1864893,98,97,0
dbo,FxUserDailyMissionLog,6227003,316,316,0
dbo,FxUserPurchaseAnalysis,5893525,463,368,95
dbo,fxuserinventory_bak_2013_0205,10122547,536,536,0
dbo,FxTranx_20180101_2,16529665,899,899,0
dbo,FxTranx_Old_20180101_2,16529665,899,899,0
dbo,FxUserInventory,13633675,1280,1182,98
dbo,FxPreInventory,2137120,1598,1201,397
dbo,FxMMResolutionLog,36478358,1748,1747,0
