﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_Userdynamic03,dbo,FxUserGachaponUsedCount,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_Userdynamic03,dbo,FxUserGachaponUsedCount,GachaponItemSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,FxUserGachaponUsedCount,UsedCount,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,penguin03,UserID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_Userdynamic03,dbo,penguin03,ItemSN,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,penguin03,StockSN,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,penguin03,TEL,4,,NO,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_Userdynamic03,dbo,特戰士,QuestItemSN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,特戰士,UserID,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_Userdynamic03,dbo,特戰士,Log1,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,特戰士,Log2,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,特戰士,Log3,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_Userdynamic03,dbo,特戰士,Log4,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
