type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxabusecount,,extract,Userdynamic,fxabusecount,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxbattlepoint,,extract,Userdynamic,fxbattlepoint,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxbookmarkmaplist,,extract,Userdynamic,fxbookmarkmaplist,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcajjangmatchlog,,extract,Userdynamic,fxcajjangmatchlog,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcajjangmatchuserinfo,,extract,Userdynamic,fxcajjangmatchuserinfo,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcajjangplacement,,extract,Userdynamic,fxcajjangplacement,,,,,,,,,尚未確定(0M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcouple,,extract,Userdynamic,fxcouple,,,,,,,,,紀錄歷史結婚資料(大於10M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcoupleringname,,extract,Userdynamic,fxcoupleringname,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxcpbonusrewardlimit,,extract,Userdynamic,fxcpbonusrewardlimit,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxdynamicresetlog,,extract,Userdynamic,fxdynamicresetlog,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxelecdisplayinfo,,extract,Userdynamic,fxelecdisplayinfo,,,,,,,,,尚未確定(小於500K),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxeventitemrecord,,extract,Userdynamic,fxeventitemrecord,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxgameresultlog,,extract,Userdynamic,fxgameresultlog,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxhcsinglestageinfo,,extract,Userdynamic,fxhcsinglestageinfo,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxhiddencatchcoin,,extract,Userdynamic,fxhiddencatchcoin,,,,,,,,,尚未確定(大於10M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxhiddencatchsingledata,,extract,Userdynamic,fxhiddencatchsingledata,,,,,,,,,尚未確定(大於1M),
all,1,bnb,2019-12-01,,,,,,all,Userdynamic,fxhiddencatchsingledatasu,,extract,Userdynamic,fxhiddencatchsingledatasu,,,,,,,,,尚未確定(0M),
