﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200807_Userdynamic03,dbo,FxUserGachaponUsedCount,BASE TABLE
20200807_Userdynamic03,dbo,penguin03,BASE TABLE
20200807_Userdynamic03,dbo,特戰士,BASE TABLE
20200807_Userdynamic03,dbo,特戰士31,BASE TABLE
20200807_Userdynamic03,dbo,dtproperties,BASE TABLE
20200807_Userdynamic03,dbo,企鵝蛋,BASE TABLE
20200807_Userdynamic03,dbo,FxCAJJangMatchLog,BASE TABLE
20200807_Userdynamic03,dbo,特戰士all,BASE TABLE
20200807_Userdynamic03,dbo,中秋節,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDTTInfo,BASE TABLE
20200807_Userdynamic03,dbo,企鵝與中秋,BASE TABLE
20200807_Userdynamic03,dbo,任務加碼,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDTTInfoBackup,BASE TABLE
20200807_Userdynamic03,dbo,來炸我唷,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDTTLog,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDTTSlotItems,BASE TABLE
20200807_Userdynamic03,dbo,FxCAJJangMatchUserInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxBattlePoint,BASE TABLE
20200807_Userdynamic03,dbo,FxSpecialMark,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponBonusItem,BASE TABLE
20200807_Userdynamic03,dbo,FxCAJJangPlacement,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponCoupon,BASE TABLE
20200807_Userdynamic03,dbo,FxUserSpendMoney,BASE TABLE
20200807_Userdynamic03,dbo,FxMatchingLog,BASE TABLE
20200807_Userdynamic03,dbo,FxMatchingUserInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxNormalMatchLog,BASE TABLE
20200807_Userdynamic03,dbo,FxNormalMatchUserInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxUserTitleList,BASE TABLE
20200807_Userdynamic03,dbo,FxUserTitleWord,BASE TABLE
20200807_Userdynamic03,dbo,_FxUserMiscLog_20130801,BASE TABLE
20200807_Userdynamic03,dbo,FxMonRank,BASE TABLE
20200807_Userdynamic03,dbo,_FxUserMiscLog_20130808,BASE TABLE
20200807_Userdynamic03,dbo,_FxUserMiscLog_20130815,BASE TABLE
20200807_Userdynamic03,dbo,_FxUserMiscLog_20130822,BASE TABLE
20200807_Userdynamic03,dbo,FxUserHeartPoint,BASE TABLE
20200807_Userdynamic03,dbo,FxGameResultLog,BASE TABLE
20200807_Userdynamic03,dbo,FxUserHeartPointLog,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDynamic,BASE TABLE
20200807_Userdynamic03,dbo,FxRewardLimit,BASE TABLE
20200807_Userdynamic03,dbo,FxAbuseCount,BASE TABLE
20200807_Userdynamic03,dbo,FxBookMarkMapList,BASE TABLE
20200807_Userdynamic03,dbo,FxCoupleRingName,BASE TABLE
20200807_Userdynamic03,dbo,FxElecDisplayInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxHCSingleStageInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxLevelUpRewardLog,BASE TABLE
20200807_Userdynamic03,dbo,FxHiddenCatchCoin,BASE TABLE
20200807_Userdynamic03,dbo,FxHiddenCatchSingleData,BASE TABLE
20200807_Userdynamic03,dbo,FxHiddenCatchSingleDataSU,BASE TABLE
20200807_Userdynamic03,dbo,FxUserTLShopInfo,BASE TABLE
20200807_Userdynamic03,dbo,FxUserAccount_tmp_0807,BASE TABLE
20200807_Userdynamic03,dbo,FxUserDynamic_tmp,BASE TABLE
20200807_Userdynamic03,dbo,FxUserWishItem,BASE TABLE
20200807_Userdynamic03,dbo,FxUserTLShopStock,BASE TABLE
20200807_Userdynamic03,dbo,VW_sum_dyn,VIEW
20200807_Userdynamic03,dbo,VW_sum_dyn2,VIEW
20200807_Userdynamic03,dbo,GMLog_UserDynamic,BASE TABLE
20200807_Userdynamic03,dbo,VW_sum_dyn3,VIEW
20200807_Userdynamic03,dbo,VW_Event,VIEW
20200807_Userdynamic03,dbo,FxUserMapRank,BASE TABLE
20200807_Userdynamic03,dbo,a_40005,VIEW
20200807_Userdynamic03,dbo,b_40004,VIEW
20200807_Userdynamic03,dbo,FxUserMiscLog,BASE TABLE
20200807_Userdynamic03,dbo,FxPlayMapRecord,BASE TABLE
20200807_Userdynamic03,dbo,zo02,BASE TABLE
20200807_Userdynamic03,dbo,bir03,BASE TABLE
20200807_Userdynamic03,dbo,LUSSI_TMP03,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponCoupon0113,BASE TABLE
20200807_Userdynamic03,dbo,FxUserTitle,BASE TABLE
20200807_Userdynamic03,dbo,Temp_TmeRewardList01,BASE TABLE
20200807_Userdynamic03,dbo,Temp_TmeRewardList02,BASE TABLE
20200807_Userdynamic03,dbo,log03,BASE TABLE
20200807_Userdynamic03,dbo,Temp_TmeRewardList03,BASE TABLE
20200807_Userdynamic03,dbo,snowmission,BASE TABLE
20200807_Userdynamic03,dbo,moneygift03,BASE TABLE
20200807_Userdynamic03,dbo,FxDynamicResetLog,BASE TABLE
20200807_Userdynamic03,dbo,FxUserBasket,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponCoupon20110908,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponGivenItem,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponBonusGauge,BASE TABLE
20200807_Userdynamic03,dbo,FxUserMarbleCoinUsedCount,BASE TABLE
20200807_Userdynamic03,dbo,FxEventItemRecord,BASE TABLE
20200807_Userdynamic03,dbo,FxQuestLog,BASE TABLE
20200807_Userdynamic03,dbo,FxTournamentDynamic,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponItem,BASE TABLE
20200807_Userdynamic03,dbo,tmp_Guildhunter,BASE TABLE
20200807_Userdynamic03,dbo,FxUserSpecialItem,BASE TABLE
20200807_Userdynamic03,dbo,FxCouple,BASE TABLE
20200807_Userdynamic03,dbo,GxSync,BASE TABLE
20200807_Userdynamic03,dbo,tempconfusedlog,BASE TABLE
20200807_Userdynamic03,dbo,Log_Dynamic,BASE TABLE
20200807_Userdynamic03,dbo,FxCpBonusRewardLimit,BASE TABLE
20200807_Userdynamic03,dbo,___FxUserBuyAnalysis,BASE TABLE
20200807_Userdynamic03,dbo,___ttt,BASE TABLE
20200807_Userdynamic03,dbo,FxUserGachaponCoupon20121220,BASE TABLE
20200807_Userdynamic03,dbo,LEVEL,BASE TABLE
