﻿schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,___FxUserBuyAnalysis,0,0,0,0
dbo,___ttt,0,0,0,0
dbo,_FxUserMiscLog_20130801,18199,0,0,0
dbo,_FxUserMiscLog_20130808,16393,0,0,0
dbo,_FxUserMiscLog_20130815,15185,0,0,0
dbo,_FxUserMiscLog_20130822,15968,0,0,0
dbo,bir03,2248,0,0,0
dbo,FxAbuseCount,0,0,0,0
dbo,FxCAJJangMatchLog,0,0,0,0
dbo,FxCAJJangMatchUserInfo,0,0,0,0
dbo,FxCAJJangPlacement,0,0,0,0
dbo,FxElecDisplayInfo,564,0,0,0
dbo,FxCoupleRingName,341,0,0,0
dbo,FxMatchingLog,0,0,0,0
dbo,FxMatchingUserInfo,0,0,0,0
dbo,FxHiddenCatchSingleDataSU,0,0,0,0
dbo,FxRewardLimit,0,0,0,0
dbo,FxSpecialMark,10,0,0,0
dbo,FxUserDTTInfo,2946,0,0,0
dbo,FxUserDTTInfoBackup,0,0,0,0
dbo,FxUserGachaponCoupon,0,0,0,0
dbo,FxUserGachaponCoupon0113,20988,0,0,0
dbo,FxUserGachaponCoupon20110908,24421,0,0,0
dbo,FxUserGachaponCoupon20121220,14917,0,0,0
dbo,FxUserGachaponGivenItem,0,0,0,0
dbo,FxUserGachaponItem,0,0,0,0
dbo,FxUserGachaponUsedCount,94,0,0,0
dbo,FxUserHeartPoint,3819,0,0,0
dbo,FxUserSpecialItem,9,0,0,0
dbo,FxUserSpendMoney,87,0,0,0
dbo,FxUserTitle,1669,0,0,0
dbo,moneygift03,160,0,0,0
dbo,penguin03,5841,0,0,0
dbo,snowmission,5319,0,0,0
dbo,Temp_TmeRewardList01,814,0,0,0
dbo,Temp_TmeRewardList02,29,0,0,0
dbo,Temp_TmeRewardList03,13,0,0,0
dbo,tempconfusedlog,2241,0,0,0
dbo,tmp_Guildhunter,23673,0,0,0
dbo,zo02,6315,0,0,0
dbo,中秋節,7108,0,0,0
dbo,任務加碼,569,0,0,0
dbo,企鵝蛋,5931,0,0,0
dbo,企鵝與中秋,841,0,0,0
dbo,來炸我唷,1,0,0,0
dbo,FxUserWishItem,4539,0,0,0
dbo,GMLog_UserDynamic,0,0,0,0
dbo,GxSync,0,0,0,0
dbo,LEVEL,1,0,0,0
dbo,Log_Dynamic,0,0,0,0
dbo,特戰士31,107,0,0,0
dbo,特戰士all,23628,1,1,0
dbo,log03,31612,1,1,0
dbo,特戰士,23521,1,1,0
dbo,FxUserMarbleCoinUsedCount,37128,1,1,0
dbo,FxHiddenCatchSingleData,9725,1,0,1
dbo,FxUserGachaponBonusGauge,37136,1,1,0
dbo,FxNormalMatchUserInfo,22170,1,1,0
dbo,FxCpBonusRewardLimit,24619,1,1,0
dbo,FxDynamicResetLog,2863,1,0,0
dbo,FxTournamentDynamic,34983,2,1,0
dbo,FxUserGachaponBonusItem,15276,2,1,0
dbo,FxUserDTTSlotItems,47136,2,2,0
dbo,FxUserDTTLog,40255,4,4,0
dbo,FxUserTitleWord,36965,4,1,3
dbo,FxEventItemRecord,97058,4,4,0
dbo,LUSSI_TMP03,128718,4,4,0
dbo,FxUserMiscLog,104600,6,5,0
dbo,FxUserTLShopInfo,138496,9,7,2
dbo,FxBookMarkMapList,100899,9,7,2
dbo,FxHiddenCatchCoin,188130,11,8,2
dbo,FxUserHeartPointLog,355521,14,14,0
dbo,FxGameResultLog,325191,18,17,0
dbo,FxHCSingleStageInfo,302276,20,18,1
dbo,FxUserDynamic_tmp,169268,20,19,0
dbo,FxUserBasket,561622,27,23,3
dbo,FxLevelUpRewardLog,625666,28,22,6
dbo,FxUserTLShopStock,693442,36,34,1
dbo,FxUserAccount_tmp_0807,224540,37,32,5
dbo,FxBattlePoint,970608,44,38,6
dbo,FxMonRank,1118888,77,77,0
dbo,FxCouple,511366,96,77,19
dbo,FxPlayMapRecord,2644195,157,157,0
dbo,FxUserDynamic,1485929,237,226,11
dbo,FxUserMapRank,11126456,631,628,3
dbo,FxUserTitleList,9171607,707,706,0
dbo,FxNormalMatchLog,12736811,910,910,0
dbo,FxQuestLog,21658234,3157,2544,613
