﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_WebGuild,dbo,tblGroupPost_Search,PID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupPost_Search,GID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupPost_Search,UserNickName,3,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroupPost_Search,PTitle,4,,YES,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroupPost_Search,PContent,5,,YES,nvarchar,500.0,1000.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroupPost_Search,PCounts,6,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupPost_Search,RegisterDate,7,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200807_WebGuild,dbo,tblGroupPost_Search,UptDate,8,(getdate()),YES,datetime,,,,,,3.0,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EXP_Rank,Guid,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EXP_Rank,GID,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EXP_Rank,GuildName,3,,YES,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroup_Search_EXP_Rank,masterNickName,4,,YES,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroup_Search_EXP_Rank,frmGame_EXP,5,(0),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EventNum_Rank,Guid,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EventNum_Rank,GID,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroup_Search_EventNum_Rank,GuildName,3,,YES,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroup_Search_EventNum_Rank,masterNickName,4,,YES,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroup_Search_EventNum_Rank,frmGame_EventNum,5,(0),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupEventData_Temp,EID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupEventData_Temp,UserGameID,2,,YES,nvarchar,30.0,60.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,tblGroupEventData_Temp,frmGame_EventNum,3,(0),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,tblGroupEventData_Temp,Udate,4,(getdate()),YES,datetime,,,,,,3.0,,,,,,,,,
20200807_WebGuild,dbo,FxGuildDeleted,SN,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,FxGuildDeleted,Name,2,,YES,varchar,26.0,26.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_WebGuild,dbo,Delete_tblGroupUser,UID,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_WebGuild,dbo,Delete_tblGroupUser,GID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
