TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200909_NX_Messenger00,dbo,tblCategoryInfo2,oidOwnerCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,n4SerialNo,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,codeOwnerGame,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,oidOwnerVirtualCode,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,strName,5,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,n1Property,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,n1AllowType,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,dtCreated,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCategoryInfo2,dtModified,9,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_NX_Messenger00,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200909_NX_Messenger00,dbo,dtproperties,version,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,oidOwnerCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,n4CategorySerialNo,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,codeOwnerGame,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,oidOwnerVirtualCode,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,oidFriendCode,5,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,codeFriendGame,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,oidFriendVirtualCode,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,dtCreated,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblCateFriendMap,dtModified,9,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,oidOwnerCode,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,oidFriendCode,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_NX_Messenger00,dbo,tblRealFriendInfo,strLoginID,3,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
