TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200909_cso,dbo,cafe,cafeno,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,cafe,cafename,2,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,cafe,location1,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,cafe,location2,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,cafe,location3,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,id,1,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,nexonsn,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,nickname,3,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,nicknamec,4,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,updatetime,5,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,character,createtime,6,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,character,logintime,7,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,character,logouttime,8,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,character,playtime,9,((0)),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,class,10,((0)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,oldLevel,11,((1)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,levelc,12,((0)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,oldexp,13,((0)),NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,maxexp,14,((0)),NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,point,15,((0)),NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,playcount,16,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,wincount,17,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,killcount,18,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,deathcount,19,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,cafeno,20,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,clanid,21,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,applyclanid,22,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,clanleave,23,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,quickstart,24,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,inventory,25,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,ban,26,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,opt,27,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,punish,28,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,misc,29,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,miscinventory,30,,YES,varchar,-1.0,-1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,character,offlineinvite,31,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,teamUid,32,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,accumLevel,33,((1)),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,curExp,34,((0)),YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,character,exp,35,((0)),YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,punish,id,1,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,punish,type,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,punish,start,3,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,punish,end,4,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,punish,reason,5,,YES,varchar,1000.0,1000.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,user_item_own_status,id,1,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,user_item_own_status,lastUpdated,2,,YES,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item173Have,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item173Used,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item396Have,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item396Used,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item533Have,7,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,user_item_own_status,item533Used,8,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,report_old,id,1,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,report_old,nickname,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,report_old,type,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,report_old,contents,4,,YES,varchar,8000.0,8000.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,report_old,reporter,5,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,report_old,date,6,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_cso,dbo,clan,uid,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,clan,clanid,2,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,clan,name,3,,NO,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,clan,masterid,4,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,clan,mastername,5,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_cso,dbo,clan,masterlevel,6,((0)),YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,clan,masternsn,7,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_cso,dbo,clan,header,8,,YES,varchar,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
