type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,cso,2019-12-01,,,,,,all,cso,account,,extract,cso,account,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso,auction_changedpriceitem,,extract,cso,auction_changedpriceitem,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,auction_character_attr,,extract,cso,auction_character_attr,,,,,,,,,尚未確定(大於10M),
all,1,cso,2019-12-01,,,,,,all,cso,auction_item,,extract,cso,auction_item,,,,,,,,,拍賣道具?(大於100M),
all,1,cso,2019-12-01,,,,,,all,cso,auction_itemvalue,,extract,cso,auction_itemvalue,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,auction_restricteditem,,extract,cso,auction_restricteditem,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso,bestteam_for_league,,extract,cso,bestteam_for_league,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,bingo_prized_item,,extract,cso,bingo_prized_item,,,,,,,,,尚未確定(大於1M),
all,1,cso,2019-12-01,,,,,,all,cso,bulletin,,extract,cso,bulletin,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,cafe,,extract,cso,cafe,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,challenge_record,,extract,cso,challenge_record,,,,,,,,,尚未確定(大於10M),
all,1,cso,2019-12-01,,,,,,all,cso,char_levelup,,extract,cso,char_levelup,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso,character00,,extract,cso,character00,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,cso,character01,,extract,cso,character01,,,,,,,,,尚未確定(小於500K),
