TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200909_cso,dbo,cafe,BASE TABLE
20200909_cso,dbo,character,BASE TABLE
20200909_cso,dbo,punish,BASE TABLE
20200909_cso,dbo,user_item_own_status,BASE TABLE
20200909_cso,dbo,report_old,BASE TABLE
20200909_cso,dbo,clan,BASE TABLE
20200909_cso,dbo,character_questXML,BASE TABLE
20200909_cso,dbo,20121207intimacy_node,BASE TABLE
20200909_cso,dbo,sandbox_cheer_msg,BASE TABLE
20200909_cso,dbo,character_season_system,BASE TABLE
20200909_cso,dbo,bestteam_for_league,BASE TABLE
20200909_cso,dbo,sandbox_events,BASE TABLE
20200909_cso,dbo,give_reward,BASE TABLE
20200909_cso,dbo,D20120515_character_id,BASE TABLE
20200909_cso,dbo,sandbox_slot_tag,BASE TABLE
20200909_cso,dbo,challenge_record,BASE TABLE
20200909_cso,dbo,sandbox_event_participants,BASE TABLE
20200909_cso,dbo,D20120223_Character_Delete,BASE TABLE
20200909_cso,dbo,give_reward_recipient,BASE TABLE
20200909_cso,dbo,D20120223_Character_Create,BASE TABLE
20200909_cso,dbo,character_unsavedinventory,BASE TABLE
20200909_cso,dbo,D20120223_Character_Update,BASE TABLE
20200909_cso,dbo,character00,BASE TABLE
20200909_cso,dbo,character_clean_system_info,BASE TABLE
20200909_cso,dbo,event_login,BASE TABLE
20200909_cso,dbo,character01,BASE TABLE
20200909_cso,dbo,sandbox_report,BASE TABLE
20200909_cso,dbo,character02,BASE TABLE
20200909_cso,dbo,character_sandbox_event,BASE TABLE
20200909_cso,dbo,clan_added,BASE TABLE
20200909_cso,dbo,rank_scenario_top,BASE TABLE
20200909_cso,dbo,dic_unit_video_info,BASE TABLE
20200909_cso,dbo,clan_member,BASE TABLE
20200909_cso,dbo,dic_unit_preview_info,BASE TABLE
20200909_cso,dbo,reward_recieved_131229,BASE TABLE
20200909_cso,dbo,season_match,BASE TABLE
20200909_cso,dbo,reward_log,BASE TABLE
20200909_cso,dbo,ban_option,BASE TABLE
20200909_cso,dbo,clan_applier,BASE TABLE
20200909_cso,dbo,character_ribbon,BASE TABLE
20200909_cso,dbo,clan_weekly_bonus,BASE TABLE
20200909_cso,dbo,match_play_count,BASE TABLE
20200909_cso,dbo,scenario_record,BASE TABLE
20200909_cso,dbo,scenario_record_prev,BASE TABLE
20200909_cso,dbo,codis_user,BASE TABLE
20200909_cso,dbo,character_rival,BASE TABLE
20200909_cso,dbo,dic_unit_user_star_point,BASE TABLE
20200909_cso,dbo,codis_game,BASE TABLE
20200909_cso,dbo,task017_event,BASE TABLE
20200909_cso,dbo,clan_zombie_temp,BASE TABLE
20200909_cso,dbo,character_recommend_friends,BASE TABLE
20200909_cso,dbo,clan_refused_applier,BASE TABLE
20200909_cso,dbo,clan_achieve_record,BASE TABLE
20200909_cso,dbo,character_second_password,BASE TABLE
20200909_cso,dbo,match_option_count,BASE TABLE
20200909_cso,dbo,character_mode_soccer,BASE TABLE
20200909_cso,dbo,user_num,BASE TABLE
20200909_cso,dbo,clan_notice,BASE TABLE
20200909_cso,dbo,zipcode,BASE TABLE
20200909_cso,dbo,char_levelup,BASE TABLE
20200909_cso,dbo,clan_member_zombie_temp,BASE TABLE
20200909_cso,dbo,mapmode_stat,BASE TABLE
20200909_cso,dbo,clan_donate_temp,BASE TABLE
20200909_cso,dbo,__location1,BASE TABLE
20200909_cso,dbo,weapon_usage,BASE TABLE
20200909_cso,dbo,item_buy,BASE TABLE
20200909_cso,dbo,clan_union_temp,BASE TABLE
20200909_cso,dbo,event_log_for_gm,BASE TABLE
20200909_cso,dbo,__location2,BASE TABLE
20200909_cso,dbo,New Text Document,BASE TABLE
20200909_cso,dbo,function_use,BASE TABLE
20200909_cso,dbo,character_skill_rating,BASE TABLE
20200909_cso,dbo,evt200820_settlement_support_users,BASE TABLE
20200909_cso,dbo,class_use,BASE TABLE
20200909_cso,dbo,clan_rank_prev,BASE TABLE
20200909_cso,dbo,__location3,BASE TABLE
20200909_cso,dbo,play_time,BASE TABLE
20200909_cso,dbo,clan_rank,BASE TABLE
20200909_cso,dbo,sandbox_subscriber,BASE TABLE
20200909_cso,dbo,D20080716_location,BASE TABLE
20200909_cso,dbo,report_test,BASE TABLE
20200909_cso,dbo,D20080716_character,BASE TABLE
20200909_cso,dbo,rank_update_info,BASE TABLE
20200909_cso,dbo,clan_applier_zombie_temp,BASE TABLE
20200909_cso,dbo,D20080716_location3,BASE TABLE
20200909_cso,dbo,scenario_record_block,BASE TABLE
20200909_cso,dbo,D20080716_location2,BASE TABLE
20200909_cso,dbo,clan_battle_temp,BASE TABLE
20200909_cso,dbo,sandbox_subscriber_character,BASE TABLE
20200909_cso,dbo,clan_battle_result_temp,BASE TABLE
20200909_cso,dbo,location1,BASE TABLE
20200909_cso,dbo,sandbox_slot,BASE TABLE
20200909_cso,dbo,Init_2nd_Pw_IDs,VIEW
20200909_cso,dbo,clan_invite,BASE TABLE
20200909_cso,dbo,location2,BASE TABLE
20200909_cso,dbo,massgame_history,BASE TABLE
20200909_cso,dbo,sandbox_creator_notification,BASE TABLE
20200909_cso,dbo,nickname_history,BASE TABLE
20200909_cso,dbo,location3,BASE TABLE
20200909_cso,dbo,tblGameUser_ForGenOidUser,BASE TABLE
20200909_cso,dbo,auction_item_old,BASE TABLE
20200909_cso,dbo,temInven0212,BASE TABLE
20200909_cso,dbo,bulletin,BASE TABLE
20200909_cso,dbo,temInven0212m,BASE TABLE
20200909_cso,dbo,bulletin_test,BASE TABLE
20200909_cso,dbo,D20080717_character,BASE TABLE
20200909_cso,dbo,character_play_records,BASE TABLE
20200909_cso,dbo,20121207intimacy_edge,BASE TABLE
20200909_cso,dbo,Backup_CBox,BASE TABLE
20200909_cso,dbo,id,BASE TABLE
20200909_cso,dbo,poker_history,BASE TABLE
20200909_cso,dbo,auction_user_attr_old,BASE TABLE
20200909_cso,dbo,sysdiagrams,BASE TABLE
20200909_cso,dbo,sandbox_resource,BASE TABLE
20200909_cso,dbo,bingo_prized_item,BASE TABLE
20200909_cso,dbo,temp0401,BASE TABLE
20200909_cso,dbo,sandbox_bookmark,BASE TABLE
20200909_cso,dbo,temp0401_2,BASE TABLE
20200909_cso,dbo,list_item,BASE TABLE
20200909_cso,dbo,temp0401_3,BASE TABLE
20200909_cso,dbo,character_auxrecord,BASE TABLE
20200909_cso,dbo,temp_expeled_members,BASE TABLE
20200909_cso,dbo,character_temp,BASE TABLE
20200909_cso,dbo,minigame_whole_data,BASE TABLE
20200909_cso,dbo,sandbox_play_history,BASE TABLE
20200909_cso,dbo,temp_erased_clan_list,BASE TABLE
20200909_cso,dbo,temp_erased_clan_info,BASE TABLE
20200909_cso,dbo,sandbox_image,BASE TABLE
20200909_cso,dbo,banlist,BASE TABLE
20200909_cso,dbo,temp_backup_member,BASE TABLE
20200909_cso,dbo,temp_clan_member_info,BASE TABLE
20200909_cso,dbo,intimacy_node,BASE TABLE
20200909_cso,dbo,help_class_use,BASE TABLE
20200909_cso,dbo,intimacy_edge,BASE TABLE
20200909_cso,dbo,sandbox_cube_transaction,BASE TABLE
20200909_cso,dbo,help_class_use_daily,BASE TABLE
20200909_cso,dbo,markCharacter,VIEW
20200909_cso,dbo,temp_reinforceAbusing_AbusingMaterial,BASE TABLE
20200909_cso,dbo,auction_itemValue,BASE TABLE
20200909_cso,dbo,result2,BASE TABLE
20200909_cso,dbo,temp_reinforceAbusing_AbusingItemInitLevel,BASE TABLE
20200909_cso,dbo,temp_reinforceAbusing_AbusingItemReinforceEXP,BASE TABLE
20200909_cso,dbo,sandbox_group,BASE TABLE
20200909_cso,dbo,recommend_reward,BASE TABLE
20200909_cso,dbo,sandbox_group_creator_rank,BASE TABLE
20200909_cso,dbo,temp_reinforceAbusing_AbusingItemReinforceEXP_old,BASE TABLE
20200909_cso,dbo,sandbox_group_creator_value,BASE TABLE
20200909_cso,dbo,sandbox_group_player_value0,BASE TABLE
20200909_cso,dbo,sandbox_group_player_value1,BASE TABLE
20200909_cso,dbo,sandbox_group_player_value2,BASE TABLE
20200909_cso,dbo,sandbox_group_player_value3,BASE TABLE
20200909_cso,dbo,recommend_reward_20130828,BASE TABLE
20200909_cso,dbo,D20120515_character,BASE TABLE
20200909_cso,dbo,user_survey_reference,BASE TABLE
20200909_cso,dbo,auction_changedPriceItem,BASE TABLE
20200909_cso,dbo,user_survey_result,BASE TABLE
20200909_cso,dbo,auction_restrictedItem,BASE TABLE
20200909_cso,dbo,report,BASE TABLE
20200909_cso,dbo,expeditionSystem,BASE TABLE
20200909_cso,dbo,character_vip_system_info,BASE TABLE
20200909_cso,dbo,character_quest_record,BASE TABLE
20200909_cso,dbo,temp170717,BASE TABLE
20200909_cso,dbo,list,BASE TABLE
20200909_cso,dbo,help_modemap,BASE TABLE
20200909_cso,dbo,temp170718items,BASE TABLE
20200909_cso,dbo,help_modemap_daily,BASE TABLE
20200909_cso,dbo,auction_item,BASE TABLE
20200909_cso,dbo,help_weapon_select,BASE TABLE
20200909_cso,dbo,help_weapon_select_daily,BASE TABLE
20200909_cso,dbo,help_weapon_kill,BASE TABLE
20200909_cso,dbo,help_weapon_kill_daily,BASE TABLE
20200909_cso,dbo,account,BASE TABLE
