schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,__location1,26,0,0,0
dbo,__location2,371,0,0,0
dbo,__location3,7801,0,0,0
dbo,account,0,0,0,0
dbo,auction_changedPriceItem,2807,0,0,0
dbo,auction_itemValue,351,0,0,0
dbo,auction_restrictedItem,0,0,0,0
dbo,Backup_CBox,4201,0,0,0
dbo,bulletin,20,0,0,0
dbo,bulletin_test,0,0,0,0
dbo,cafe,7801,0,0,0
dbo,bestteam_for_league,20,0,0,0
dbo,char_levelup,0,0,0,0
dbo,character_rival,0,0,0,0
dbo,character00,4,0,0,0
dbo,character01,4,0,0,0
dbo,character02,889,0,0,0
dbo,character_temp,1,0,0,0
dbo,clan_added,6002,0,0,0
dbo,clan_applier_zombie_temp,7552,0,0,0
dbo,clan_battle_temp,0,0,0,0
dbo,clan_invite,0,0,0,0
dbo,clan_union_temp,107,0,0,0
dbo,class_use,0,0,0,0
dbo,codis_game,6053,0,0,0
dbo,D20080716_character,30,0,0,0
dbo,D20080716_location,7801,0,0,0
dbo,D20080716_location2,1,0,0,0
dbo,D20080716_location3,3,0,0,0
dbo,D20120223_Character_Create,766,0,0,0
dbo,D20120223_Character_Delete,0,0,0,0
dbo,dic_unit_preview_info,26,0,0,0
dbo,dic_unit_video_info,0,0,0,0
dbo,event_log_for_gm,0,0,0,0
dbo,function_use,0,0,0,0
dbo,give_reward,653,0,0,0
dbo,help_class_use_daily,3013,0,0,0
dbo,help_zombie_use_daily,12976,0,0,0
dbo,id,492,0,0,0
dbo,item_buy,0,0,0,0
dbo,list,80,0,0,0
dbo,list_item,113,0,0,0
dbo,location1,26,0,0,0
dbo,location2,371,0,0,0
dbo,location3,7801,0,0,0
dbo,mapmode_stat,0,0,0,0
dbo,massgame_history,15,0,0,0
dbo,minigame_whole_data,2,0,0,0
dbo,New Text Document,348,0,0,0
dbo,play_time,0,0,0,0
dbo,poker_history,984,0,0,0
dbo,rank_scenario_top,28,0,0,0
dbo,rank_update_info,4084,0,0,0
dbo,report_old2,0,0,0,0
dbo,report_test,79,0,0,0
dbo,reward_log,0,0,0,0
dbo,sandbox_creator_notification,35,0,0,0
dbo,sandbox_events,26,0,0,0
dbo,sandbox_group,382,0,0,0
dbo,sandbox_group_creator_value,2,0,0,0
dbo,sandbox_subscriber,8997,0,0,0
dbo,sandbox_subscriber_character,138,0,0,0
dbo,scenario_record,885,0,0,0
dbo,scenario_record_block,0,0,0,0
dbo,scenario_record_prev,821,0,0,0
dbo,sysdiagrams,0,0,0,0
dbo,task017_event,0,0,0,0
dbo,tblGameUser_ForGenOidUser,128,0,0,0
dbo,temp_backup_member,650,0,0,0
dbo,temp_clan_member_info,1953,0,0,0
dbo,temp_erased_clan_info,20,0,0,0
dbo,temp_erased_clan_list,22,0,0,0
dbo,temp_expeled_members,1953,0,0,0
dbo,temp_reinforceAbusing_AbusingItemInitLevel,70,0,0,0
dbo,temp_reinforceAbusing_AbusingItemReinforceEXP,44,0,0,0
dbo,temp_reinforceAbusing_AbusingItemReinforceEXP_old,269,0,0,0
dbo,temp_reinforceAbusing_AbusingMaterial,18,0,0,0
dbo,user_num,0,0,0,0
dbo,user_survey_reference,12,0,0,0
dbo,user_survey_result,93,0,0,0
dbo,weapon_usage,0,0,0,0
dbo,zipcode,0,0,0,0
dbo,temp170717,0,0,0,0
dbo,temp170718items,0,0,0,0
dbo,sandbox_slot_tag,10772,1,0,0
dbo,help_modemap_daily,17238,1,0,0
dbo,evt200820_settlement_support_users,49236,1,1,0
dbo,clan_weekly_bonus,39917,1,1,0
dbo,sandbox_event_participants,6324,2,2,0
dbo,match_team,19072,2,1,0
dbo,punish,40163,3,2,0
dbo,sandbox_group_creator_rank,46865,3,2,0
dbo,sandbox_cheer_msg,8981,3,2,0
dbo,D20080717_character,390,3,3,0
dbo,clan_applier,7595,3,2,1
dbo,temp0401,117360,3,3,0
dbo,temp0401_2,117124,3,3,0
dbo,temp0401_3,117002,3,3,0
dbo,D20120223_Character_Update,180894,4,4,0
dbo,clan_rank,116271,4,4,0
dbo,clan_rank_prev,116227,4,3,0
dbo,sandbox_image,14013,4,3,1
dbo,event_login,215754,4,4,0
dbo,help_weapon_assist_daily,69173,4,3,0
dbo,help_weapon_kill_daily,92854,5,4,0
dbo,bingo_prized_item,105257,5,5,0
dbo,clan_refused_applier,63692,6,4,1
dbo,clan_zombie_temp,116303,6,6,0
dbo,match_team_member,28622,6,4,1
dbo,sandbox_report,44064,7,6,1
dbo,sandbox_group_player_value3,6496,7,6,0
dbo,D20120515_character_id,180894,8,8,0
dbo,20121207intimacy_edge,59487,9,9,0
dbo,20121207intimacy_node,107683,10,10,0
dbo,dic_unit_user_star_point,54083,10,9,0
dbo,season_match,74054,10,10,0
dbo,help_weapon_select_daily,223050,11,10,0
dbo,sandbox_group_player_value1,10819,11,11,0
dbo,sandbox_group_player_value2,10233,11,10,0
dbo,sandbox_group_player_value0,13706,14,14,0
dbo,codis_user,60240,15,15,0
dbo,character_sandbox_event,394002,21,21,0
dbo,sandbox_bookmark,84196,21,19,1
dbo,match_play_count,719109,21,21,0
dbo,intimacy_edge,186039,29,28,0
dbo,auction_character_attr,573974,29,29,0
dbo,recommend_reward_20130828,619268,30,29,0
dbo,match_option_count,923191,31,30,0
dbo,sandbox_cube_transaction,183826,34,34,0
dbo,intimacy_node,407651,38,38,0
dbo,expeditionSystem,279353,46,46,0
dbo,clan_donate_temp,50574,52,27,25
dbo,challenge_record,1119130,77,76,1
dbo,character_second_password,934647,87,85,1
dbo,nickname_history,855302,89,83,6
dbo,recommend_reward,952888,96,95,1
dbo,character_mode_soccer,936900,98,95,2
dbo,help_class_use,3551000,111,111,0
dbo,character_season_system,1466365,124,124,0
dbo,reward_recieved_131229,1242782,149,149,0
dbo,clan_member_zombie_temp,764187,165,163,2
dbo,character_skill_rating,1688192,169,167,1
dbo,character_unsavedinventory,497668,173,173,0
dbo,clan_achieve_record,1640202,177,173,3
dbo,character_vip_system_info,1048066,181,180,0
dbo,character_clean_system_info,1731452,201,200,1
dbo,ban_option,3566456,213,208,4
dbo,clan_notice,126033,266,256,10
dbo,character_quest_record,3683033,272,269,2
dbo,report_old,2630004,310,310,0
dbo,auction_user_attr_old,812101,384,383,0
dbo,sandbox_resource,2638709,414,413,0
dbo,character_recommend_friends,4731812,445,445,0
dbo,help_modemap,9158863,512,512,0
dbo,auction_item_old,5308850,525,525,0
dbo,clan_member,156868,537,453,84
dbo,clan_battle_result_temp,3667223,538,532,5
dbo,sandbox_slot,344570,562,559,2
dbo,help_zombie_use,17297691,577,577,0
dbo,result2,2764775,870,870,0
dbo,auction_item,6878282,972,972,0
dbo,clan,126027,1020,659,360
dbo,help_weapon_assist,23337422,1398,1398,0
dbo,give_reward_recipient,8205140,1613,1572,40
dbo,character_play_records,235568,1859,1848,11
dbo,sandbox_play_history,13925938,1864,1863,0
dbo,temInven0212,91142,1920,1920,0
dbo,temInven0212m,91142,1920,1920,0
dbo,banlist,8164900,2069,2032,36
dbo,help_weapon_kill,35957088,3104,3103,0
dbo,character_questXML,564138,6086,6023,63
dbo,help_weapon_select,120069164,7241,7240,0
dbo,character_ribbon,76147260,10450,10447,2
dbo,user_item_own_status,2294896,12727,12639,88
dbo,D20120515_character,5001897,34635,33332,1302
dbo,character_auxrecord,6212847,54417,50655,3761
dbo,report,226074190,54512,45211,9301
dbo,character,6212862,65288,65215,73
dbo,character_quest,495670474,89479,89466,13
