TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200909_db_shop,dbo,sst_orders_20080801,order_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_orders_20080801,user_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_orders_20080801,user_id,3,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,user_name,4,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,order_type,5,,NO,char,1.0,1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,process_no,6,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_orders_20080801,order_date,7,,NO,char,8.0,8.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,order_time,8,,NO,char,8.0,8.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,total_price,9,,NO,decimal,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_orders_20080801,discount_price,10,,NO,decimal,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_orders_20080801,delivery_customer_name,11,,YES,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,delivery_telephone,12,,YES,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,delivery_zipcode,13,,YES,char,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,delivery_address1,14,,YES,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,delivery_address2,15,,YES,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_orders_20080801,order_description,16,,YES,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_product_history_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_product_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,product_no,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_product_status,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_process_no,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_quantity,6,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,bonus_amount,7,,NO,decimal,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,modify_date,8,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200909_db_shop,dbo,sst_bonus_product_histories,description,9,,YES,varchar,200.0,200.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_product_category_relations,category_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_category_relations,product_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_category_relations,default_category,3,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_category_relations,category_relation_guid,4,(newid()),NO,uniqueidentifier,,,,,,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,order_date,1,,NO,char,8.0,8.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_situations_by_time,product_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,product_package_type,3,,NO,char,1.0,1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum0_1,4,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum1_2,5,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum2_3,6,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum3_4,7,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum4_5,8,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum5_6,9,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum6_7,10,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum7_8,11,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum8_9,12,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum9_10,13,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum10_11,14,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum11_12,15,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum12_13,16,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum13_14,17,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum14_15,18,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum15_16,19,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum16_17,20,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum17_18,21,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum18_19,22,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum19_20,23,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum20_21,24,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum21_22,25,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum22_23,26,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,timesum23_24,27,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,create_date,28,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200909_db_shop,dbo,sst_order_situations_by_time,update_date,29,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200909_db_shop,dbo,sst_order_statistics_user,user_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_statistics_user,user_id,2,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_statistics_user,user_name,3,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_statistics_user,product_no,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_statistics_user,register_date,5,"(CONVERT([char](8),getdate(),(112)))",NO,char,8.0,8.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_statistics_user,order_quantity,6,((1)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,coupon_publication_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,event_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,event_name,3,,NO,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_coupon_publications,administrator_id,4,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_coupon_publications,min_coupon_key_no,5,((0)),NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,max_coupon_key_no,6,((0)),NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,register_date,7,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_publications,description,8,,YES,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_lottery_types,lottery_type_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_lottery_types,lottery_type,2,,NO,char,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_lottery_types,lottery_type_name,3,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_lottery_types,register_date,4,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200909_db_shop,dbo,sst_lottery_types,modify_date,5,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200909_db_shop,dbo,sst_lottery_types,description,6,,YES,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_statistics_product_no,product_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_order_statistics_product_no,register_date,2,"(CONVERT([char](8),getdate(),(112)))",NO,char,8.0,8.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_order_statistics_product_no,order_quantity,3,((1)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,coupon_usage_history_no,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,coupon_usage_no,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,event_no,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,coupon_key_no,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,coupon_status,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,user_id,6,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,coupon_code,7,,NO,char,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,modify_date,8,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200909_db_shop,dbo,sst_coupon_usage_histories,description,9,,YES,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,Account,accountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,Account,loginID,2,,NO,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_product_friendship,friendship_product_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,product_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,how_many_send_count,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,product_price,4,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,friendship_product_guid,5,(newid()),NO,uniqueidentifier,,,,,,,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,modify_date,6,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200909_db_shop,dbo,sst_product_friendship,regist_date,7,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,failure_log_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,transaction_type,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,service_code,3,,NO,char,6.0,6.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,service_mapping_code,4,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,purchase_oid,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,receive_oid,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,purchase_user_id,7,,YES,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_db_shop,dbo,sst_transaction_failure_logs,receive_user_id,8,,YES,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
