type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,cso,2019-12-01,,,,,,all,db_shop,rollbacktarget,,extract,db_shop,rollbacktarget,,,,,,,,,尚未確定(大於1M),
all,1,cso,2019-12-01,,,,,,all,db_shop,shop_orders,,extract,db_shop,shop_orders,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_bonus_product_histories,,extract,db_shop,sst_bonus_product_histories,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_bonus_products,,extract,db_shop,sst_bonus_products,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_carts,,extract,db_shop,sst_carts,,,,,,,,,購物車?(大於100M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_categories,,extract,db_shop,sst_categories,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_categories_service_code,,extract,db_shop,sst_categories_service_code,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_coupon_map,,extract,db_shop,sst_coupon_map,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_coupon_publications,,extract,db_shop,sst_coupon_publications,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_customer_deliveries,,extract,db_shop,sst_customer_deliveries,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_customer_delivery_logs,,extract,db_shop,sst_customer_delivery_logs,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_customers_cart,,extract,db_shop,sst_customers_cart,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_customers_cart_extend,,extract,db_shop,sst_customers_cart_extend,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_event_histories,,extract,db_shop,sst_event_histories,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_events,,extract,db_shop,sst_events,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_gameserver,,extract,db_shop,sst_gameserver,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_gameserver_ip,,extract,db_shop,sst_gameserver_ip,,,,,,,,,尚未確定(小於500K),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_keyword,,extract,db_shop,sst_keyword,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_keyword_types,,extract,db_shop,sst_keyword_types,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_keywords,,extract,db_shop,sst_keywords,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_last_reorders,,extract,db_shop,sst_last_reorders,,,,,,,,,尚未確定(大於10M),
all,1,cso,2019-12-01,,,,,,all,db_shop,sst_log,,extract,db_shop,sst_log,,,,,,,,,尚未確定(大於1M),
