TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200909_db_shop,dbo,sst_orders_20080801,BASE TABLE
20200909_db_shop,dbo,sst_bonus_product_histories,BASE TABLE
20200909_db_shop,dbo,sst_product_category_relations,BASE TABLE
20200909_db_shop,dbo,sst_order_situations_by_time,BASE TABLE
20200909_db_shop,dbo,sst_order_statistics_user,BASE TABLE
20200909_db_shop,dbo,sst_coupon_publications,BASE TABLE
20200909_db_shop,dbo,sst_lottery_types,BASE TABLE
20200909_db_shop,dbo,sst_order_statistics_product_no,BASE TABLE
20200909_db_shop,dbo,sst_coupon_usage_histories,BASE TABLE
20200909_db_shop,dbo,Account,BASE TABLE
20200909_db_shop,dbo,sst_product_friendship,BASE TABLE
20200909_db_shop,dbo,sst_transaction_failure_logs,BASE TABLE
20200909_db_shop,dbo,sst_system_codes,BASE TABLE
20200909_db_shop,dbo,sst_product_contents_property_histories,BASE TABLE
20200909_db_shop,dbo,sst_statistics_unique_ids,BASE TABLE
20200909_db_shop,dbo,sst_option_compound_define,BASE TABLE
20200909_db_shop,dbo,sst_order_situations,BASE TABLE
20200909_db_shop,dbo,sst_order_relation_cash,BASE TABLE
20200909_db_shop,dbo,sst_lottery_type_configurations,BASE TABLE
20200909_db_shop,dbo,sst_order_situation_of_package_products,BASE TABLE
20200909_db_shop,dbo,sst_products,BASE TABLE
20200909_db_shop,dbo,sst_order_situation_of_options,BASE TABLE
20200909_db_shop,dbo,sst_order_activations,BASE TABLE
20200909_db_shop,dbo,sst_order_situation_monitoring,BASE TABLE
20200909_db_shop,dbo,sst_order_options,BASE TABLE
20200909_db_shop,dbo,sst_order_process_logs,BASE TABLE
20200909_db_shop,dbo,jerry_account,BASE TABLE
20200909_db_shop,dbo,sst_order_payments,BASE TABLE
20200909_db_shop,dbo,sst_options,BASE TABLE
20200909_db_shop,dbo,sst_keyword_types,BASE TABLE
20200909_db_shop,dbo,sst_option_compounds,BASE TABLE
20200909_db_shop,dbo,sst_lotteries,BASE TABLE
20200909_db_shop,dbo,sst_order_bonuses,BASE TABLE
20200909_db_shop,dbo,sst_carts,BASE TABLE
20200909_db_shop,dbo,sst_log,BASE TABLE
20200909_db_shop,dbo,sst_bonus_products,BASE TABLE
20200909_db_shop,dbo,sst_last_reorders,BASE TABLE
20200909_db_shop,dbo,sst_order_statistics,BASE TABLE
20200909_db_shop,dbo,sst_statistics_unique_id,BASE TABLE
20200909_db_shop,dbo,sst_statistics_create_dates,BASE TABLE
20200909_db_shop,dbo,sst_statistics_create_date,BASE TABLE
20200909_db_shop,dbo,sst_shop_users,BASE TABLE
20200909_db_shop,dbo,sst_lottery_issues_backup,BASE TABLE
20200909_db_shop,dbo,sst_services_temp,BASE TABLE
20200909_db_shop,dbo,tmp2,BASE TABLE
20200909_db_shop,dbo,tempCoupon,BASE TABLE
20200909_db_shop,dbo,temp_order_0209_3,BASE TABLE
20200909_db_shop,dbo,temp_order_0209_2,BASE TABLE
20200909_db_shop,dbo,temp_order_0209_1,BASE TABLE
20200909_db_shop,dbo,sst_customer_deliveries,BASE TABLE
20200909_db_shop,dbo,temp_order_0209,BASE TABLE
20200909_db_shop,dbo,temp_lottery_items_090217,BASE TABLE
20200909_db_shop,dbo,sst_coupon_usages,BASE TABLE
20200909_db_shop,dbo,sst_order_coupon,BASE TABLE
20200909_db_shop,dbo,sst_lottery_issue_histories,BASE TABLE
20200909_db_shop,dbo,sst_gameserver_ip,BASE TABLE
20200909_db_shop,dbo,sst_properties,BASE TABLE
20200909_db_shop,dbo,sst_event_histories,BASE TABLE
20200909_db_shop,dbo,sst_services,BASE TABLE
20200909_db_shop,dbo,sst_lottery_issues,BASE TABLE
20200909_db_shop,dbo,sst_set_products,BASE TABLE
20200909_db_shop,dbo,sst_products_wish_list,BASE TABLE
20200909_db_shop,dbo,sst_categories,BASE TABLE
20200909_db_shop,dbo,sst_categories_service_code,BASE TABLE
20200909_db_shop,dbo,sst_order_send_activation_logs,BASE TABLE
20200909_db_shop,dbo,sst_product_options,BASE TABLE
20200909_db_shop,dbo,sst_properties_item,BASE TABLE
20200909_db_shop,dbo,sst_lottery_item_histories,BASE TABLE
20200909_db_shop,dbo,sst_product_sex,BASE TABLE
20200909_db_shop,dbo,sst_lottery_histories,BASE TABLE
20200909_db_shop,dbo,sst_order_deliveries,BASE TABLE
20200909_db_shop,dbo,sst_order_processes,BASE TABLE
20200909_db_shop,dbo,sst_order_details,BASE TABLE
20200909_db_shop,dbo,sst_gameserver,BASE TABLE
20200909_db_shop,dbo,sst_events,BASE TABLE
20200909_db_shop,dbo,sst_user_game_ids,BASE TABLE
20200909_db_shop,dbo,sst_customers_cart,BASE TABLE
20200909_db_shop,dbo,sst_order_send_activations,BASE TABLE
20200909_db_shop,dbo,PropAnalysis,VIEW
20200909_db_shop,dbo,sst_item_sale_report_by_time,BASE TABLE
20200909_db_shop,dbo,ssv_sys_event_types,VIEW
20200909_db_shop,dbo,vProducts,VIEW
20200909_db_shop,dbo,vw_Product_GameType,VIEW
20200909_db_shop,dbo,sst_lottery_properties,BASE TABLE
20200909_db_shop,dbo,sst_relation_products,BASE TABLE
20200909_db_shop,dbo,sst_lottery_orders,BASE TABLE
20200909_db_shop,dbo,sst_present_carts,BASE TABLE
20200909_db_shop,dbo,sst_lottery_key_map_history,BASE TABLE
20200909_db_shop,dbo,sst_product_keywords,BASE TABLE
20200909_db_shop,dbo,sst_product_keyword_relations,BASE TABLE
20200909_db_shop,dbo,sst_product_parts,BASE TABLE
20200909_db_shop,dbo,sst_product_attribute,BASE TABLE
20200909_db_shop,dbo,sst_customer_delivery_logs,BASE TABLE
20200909_db_shop,dbo,t0612,BASE TABLE
20200909_db_shop,dbo,04090430_Temp,VIEW
20200909_db_shop,dbo,sst_order_statistics_game_id,BASE TABLE
20200909_db_shop,dbo,sst_lottery_item_property_histories,BASE TABLE
20200909_db_shop,dbo,sst_product_histories,BASE TABLE
20200909_db_shop,dbo,sst_lottery_key_map,BASE TABLE
20200909_db_shop,dbo,sst_customers_cart_extend,BASE TABLE
20200909_db_shop,dbo,sst_order_statistics_batch_gameserver,BASE TABLE
20200909_db_shop,dbo,sst_lottery_type_configuration_histories,BASE TABLE
20200909_db_shop,dbo,sst_lottery_items_backup,BASE TABLE
20200909_db_shop,dbo,sst_product_package,BASE TABLE
20200909_db_shop,dbo,sst_keywords,BASE TABLE
20200909_db_shop,dbo,sst_order_statistics_batch,BASE TABLE
20200909_db_shop,dbo,sst_product_order_quantity,BASE TABLE
20200909_db_shop,dbo,sst_coupon_map,BASE TABLE
20200909_db_shop,dbo,sst_keyword,BASE TABLE
20200909_db_shop,dbo,sst_coupon_keys,BASE TABLE
20200909_db_shop,dbo,sst_order_dualCash,BASE TABLE
20200909_db_shop,dbo,sst_lottery_item_properties,BASE TABLE
20200909_db_shop,dbo,sst_product_contents_properties,BASE TABLE
20200909_db_shop,dbo,sst_product_autoupdate,BASE TABLE
20200909_db_shop,dbo,sst_orders,BASE TABLE
20200909_db_shop,dbo,sst_order_virtual_cash,BASE TABLE
20200909_db_shop,dbo,sst_product_statuses,BASE TABLE
20200909_db_shop,dbo,sst_sync_release_status,BASE TABLE
20200909_db_shop,dbo,sst_product_friendship_history,BASE TABLE
20200909_db_shop,dbo,sst_lottery_items,BASE TABLE
20200909_db_shop,dbo,shop_orders,BASE TABLE
20200909_db_shop,dbo,rollbackTarget,BASE TABLE
20200909_db_shop,dbo,sst_repetition_order_count_by_yyyymm,BASE TABLE
20200909_db_shop,dbo,sst_order_recive_info,BASE TABLE
20200909_db_shop,dbo,sst_remove_coupon_map,BASE TABLE
20200909_db_shop,dbo,sst_partner_suppliers,BASE TABLE
