TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,logId,1,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,updateTime,2,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,loggedTime,3,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,sessionID,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,curRoundCount,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,userId,6,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,primaryWeaponID,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,secondaryWeaponID,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,knifeWeaponID,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,equipmentWeaponID,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,grenadeWeaponID,11,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,lastTimestamp,12,,NO,timestamp,,,,,,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,logId,1,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,updateTime,2,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,loggedTime,3,,NO,datetime,,,,,,3.0,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,sessionID,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,curRoundCount,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,userId,6,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,primaryWeaponID,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,secondaryWeaponID,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,knifeWeaponID,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,equipmentWeaponID,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,grenadeWeaponID,11,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
