type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,cso,2019-12-01,,,,,,all,cso_log,log_bingo,,extract,cso_log,log_bingo,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,log_gm_command,,extract,cso_log,log_gm_command,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,log_match_option,,extract,cso_log,log_match_option,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,log_match_quality,,extract,cso_log,log_match_quality,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,log_roulette,,extract,cso_log,log_roulette,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,sysdiagrams,,extract,cso_log,sysdiagrams,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_bingo,,extract,cso_log,working_log_bingo,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_factor,,extract,cso_log,working_log_factor,,,,,,,,,尚未確定(大於10M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_gm_command,,extract,cso_log,working_log_gm_command,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_login,,extract,cso_log,working_log_login,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_match_option,,extract,cso_log,working_log_match_option,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_match_quality,,extract,cso_log,working_log_match_quality,,,,,,,,,尚未確定(0M),
all,1,cso,2019-12-01,,,,,,all,cso_log,working_log_roulette,,extract,cso_log,working_log_roulette,,,,,,,,,尚未確定(0M),
log,1,cso,2019-12-01,,,,,,all,cso_log,bd_log_login,,extract,cso_log,bd_log_login,,loggedtime,loggedtime,0,1,,,,尚未確定(大於10M),
log,1,cso,2019-12-01,,,,,,all,cso_log,bd_log_logout,,extract,cso_log,bd_log_logout,,loggedtime,loggedtime,0,1,,,,尚未確定(大於10M),
