TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20200909_CSO_Log,dbo,log_round_user_assistweapon_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,working_log_round_user_assistweapon_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,log_round_user_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,working_log_round_user_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,log_round_user_weaponuseinfo_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,working_log_round_user_weaponuseinfo_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,log_round_user_zombieuseinfo_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,working_log_round_user_zombieuseinfo_result_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,log_kick,BASE TABLE
20200909_CSO_Log,dbo,working_log_kick,BASE TABLE
20200909_CSO_Log,dbo,log_round_user_play_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,working_log_round_user_play_for_zombie,BASE TABLE
20200909_CSO_Log,dbo,log_auction,BASE TABLE
20200909_CSO_Log,dbo,working_log_auction,BASE TABLE
20200909_CSO_Log,dbo,log_bingo,BASE TABLE
20200909_CSO_Log,dbo,working_log_bingo,BASE TABLE
20200909_CSO_Log,dbo,log_roulette,BASE TABLE
20200909_CSO_Log,dbo,working_log_roulette,BASE TABLE
20200909_CSO_Log,dbo,log_level,BASE TABLE
20200909_CSO_Log,dbo,working_log_level,BASE TABLE
20200909_CSO_Log,dbo,log_mileage,BASE TABLE
20200909_CSO_Log,dbo,working_log_mileage,BASE TABLE
20200909_CSO_Log,dbo,log_session_result_old,BASE TABLE
20200909_CSO_Log,dbo,log_clean,BASE TABLE
20200909_CSO_Log,dbo,log_session_user_result_old,BASE TABLE
20200909_CSO_Log,dbo,working_log_clean,BASE TABLE
20200909_CSO_Log,dbo,log_reinforce,BASE TABLE
20200909_CSO_Log,dbo,log_reinforce_materialList,BASE TABLE
20200909_CSO_Log,dbo,working_log_reinforce,BASE TABLE
20200909_CSO_Log,dbo,working_log_reinforce_materialList,BASE TABLE
20200909_CSO_Log,dbo,working_log_lottery,BASE TABLE
20200909_CSO_Log,dbo,log_shop,BASE TABLE
20200909_CSO_Log,dbo,log_lottery,BASE TABLE
20200909_CSO_Log,dbo,log_vip,BASE TABLE
20200909_CSO_Log,dbo,log_session_result,BASE TABLE
20200909_CSO_Log,dbo,working_log_vip,BASE TABLE
20200909_CSO_Log,dbo,log_round_result,BASE TABLE
20200909_CSO_Log,dbo,log_session_user_result,BASE TABLE
20200909_CSO_Log,dbo,log_match_option,BASE TABLE
20200909_CSO_Log,dbo,log_clan,BASE TABLE
20200909_CSO_Log,dbo,working_log_match_option,BASE TABLE
20200909_CSO_Log,dbo,log_expeditionSystem,BASE TABLE
20200909_CSO_Log,dbo,working_log_expeditionSystem,BASE TABLE
20200909_CSO_Log,dbo,log_expeditionSystem_reinforce,BASE TABLE
20200909_CSO_Log,dbo,log_match_quality,BASE TABLE
20200909_CSO_Log,dbo,log_expeditionSystem_reinforce_materialList,BASE TABLE
20200909_CSO_Log,dbo,working_log_match_quality,BASE TABLE
