schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,log_auction,85,0,0,0
dbo,log_bingo,0,0,0,0
dbo,log_gm_command,0,0,0,0
dbo,log_level,2977,0,0,0
dbo,log_match_option,0,0,0,0
dbo,log_match_quality,0,0,0,0
dbo,log_roulette,0,0,0,0
dbo,log_round_user_play_for_zombie,2192,0,0,0
dbo,log_vip,2678,0,0,0
dbo,working_log_auction,9,0,0,0
dbo,working_log_bingo,0,0,0,0
dbo,working_log_clan,735,0,0,0
dbo,sysdiagrams,0,0,0,0
dbo,working_log_gm_command,0,0,0,0
dbo,working_log_kick,547,0,0,0
dbo,working_log_level,514,0,0,0
dbo,working_log_login,0,0,0,0
dbo,working_log_lottery,986,0,0,0
dbo,working_log_match_option,0,0,0,0
dbo,working_log_match_quality,0,0,0,0
dbo,working_log_mileage,4500,0,0,0
dbo,working_log_roulette,0,0,0,0
dbo,working_log_round_user_play_for_zombie,321,0,0,0
dbo,working_log_round_user_result_prophunt,888,0,0,0
dbo,working_log_session_user_frame,3799,0,0,0
dbo,working_log_vip,361,0,0,0
dbo,working_log_zombie_z_user_level_up,11540,1,1,0
dbo,working_log_zombie_z_user_round_result,9722,1,1,0
dbo,working_log_zombie_z_user_weapon,12450,1,1,0
dbo,working_log_shop,1786,1,0,0
dbo,working_log_logout,5076,1,1,0
dbo,tmp,60988,1,1,0
dbo,working_log_clean,7946,1,1,0
dbo,log_round_user_result_prophunt,7798,1,1,0
dbo,log_lottery,6817,1,1,0
dbo,log_kick,5104,1,1,0
dbo,log_clan,2924,1,0,0
dbo,log_session_user_frame,31609,2,2,0
dbo,working_log_zombie_z_user_mutation,28241,2,2,0
dbo,working_log_round_user_assistweapon_result_for_zombie,14115,3,3,0
dbo,log_shop,12597,5,5,0
dbo,log_clean,51834,6,6,0
dbo,log_mileage,44530,6,6,0
dbo,working_log_round_user_zombieuseinfo_result_for_zombie,28240,6,6,0
dbo,log_expeditionSystem_reinforce,100771,7,7,0
dbo,working_log_expeditionSystem_reinforce,105422,7,7,0
dbo,working_log_round_result,33310,8,8,0
dbo,log_login,77176,8,8,0
dbo,log_logout,32344,8,8,0
dbo,working_log_item_renewal,53569,11,10,0
dbo,log_zombie_z_user_weapon,90834,13,13,0
dbo,working_log_round_user_result_for_zombie,64179,16,16,0
dbo,log_zombie_z_user_round_result,68653,17,17,0
dbo,log_zombie_z_user_level_up,81710,18,18,0
dbo,working_log_action,203653,19,18,0
dbo,log_expeditionSystem_reinforce_materialList,576926,21,21,0
dbo,working_log_expeditionSystem_reinforce_materialList,600584,22,22,0
dbo,working_log_round_user_weaponuseinfo_result_for_zombie,92016,23,23,0
dbo,log_zombie_z_user_mutation,200728,26,26,0
dbo,working_log_killdeath,127431,29,29,0
dbo,working_log_factor,209851,30,29,0
dbo,BD_log_login,333089,32,32,0
dbo,log_round_user_assistweapon_result_for_zombie,151653,40,40,0
dbo,log_round_result,195894,46,46,0
dbo,log_round_user_zombieuseinfo_result_for_zombie,190319,46,46,0
dbo,working_log_reinforce_materialList,432664,47,47,0
dbo,BD_log_logout,301625,76,76,0
dbo,log_item_renewal,408082,85,85,0
dbo,log_round_user_result_for_zombie,420538,105,105,0
dbo,log_round_user_weaponuseinfo_result_for_zombie,538848,138,138,0
dbo,working_log_round_user_result_z5,1703176,172,172,0
dbo,log_round_user_result_z5,1651683,226,226,0
dbo,working_log_reinforce,1573220,244,244,0
dbo,log_killdeath,1016323,257,257,0
dbo,log_reinforce,1694302,266,265,0
dbo,log_reinforce_materialList,3597749,306,306,0
dbo,log_factor,1437972,385,385,0
dbo,log_action,1404284,422,422,0
dbo,log_expeditionSystem,4714781,483,483,0
dbo,working_log_expeditionSystem,4724682,486,486,0
dbo,log_session_result_old,8675689,1103,1103,0
dbo,log_failed,31278414,4765,4764,0
dbo,working_log_failed,32209615,4943,4942,0
dbo,working_log_session_result,8246344,5536,5533,3
dbo,log_session_user_result_old,43856488,7218,7217,0
dbo,log_round_weapon_use,81757165,8161,8160,1
dbo,working_log_round_weapon_use,82411373,8231,8230,1
dbo,log_session_result,44587116,27823,27816,7
dbo,working_log_session_user_result,39506526,39414,39408,5
dbo,log_session_user_result,67354151,66902,66892,9
