TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20201227_Account,dbo,MPenalty,PenaltyUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MPenalty,PenaltyType,2,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MPenalty,PenaltyTarget,3,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MPenalty,StartDate,4,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MPenalty,EndDate,5,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MPenalty,Contents,6,,YES,nvarchar,500.0,1000.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MPenalty,RegDate,7,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MPenalty,RegType,8,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MPenalty,RegUser,9,,YES,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MPenalty,TargetUnitUID,10,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_ExchangeQuantity,FromItemID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_ExchangeQuantity,ToItemID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_ExchangeQuantity,MaxQuantity,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_ExchangeQuantity,NowQuantity,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Present_20160906,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Present_20160906,PresentCell,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Present_20160906,ItemID,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Present_20160906,State,4,,YES,bit,,,,,,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Present_20160906,RemainQuantity,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,Temp_MID_SN_History,MID,1,,YES,nvarchar,24.0,48.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,Temp_MID_SN_History,ServerSN,2,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,Temp_MID_SN_History,UserID,3,,YES,nvarchar,24.0,48.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,Temp_MID_SN_History,RegDate,4,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,SecondPW,2,,YES,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MUserSecondPW,IsSecondPW,3,,NO,bit,,,,,,,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,FailedCount,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,LastAuthDate,5,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,CreateDate,6,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MUserSecondPW,DeleteDate,7,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,UserUID,1,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,UnitUID,2,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,ActionType,3,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,Cell,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,Number,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,ItemID,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MEvent_Bingo_Log_20160906,RegDate,7,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,SecondPWChangeLog,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SecondPWChangeLog,RegDate,2,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,CD_LOGNUMBER,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,NO_ERROR_LINE,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,ST_ERROR_MESSAGE,3,,YES,nvarchar,2048.0,4096.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,SYS_SP_ErrorLog,NO_ERROR_NUMBER,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,ST_ERROR_PROCEDURE,5,,YES,nvarchar,126.0,252.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,SYS_SP_ErrorLog,NO_ERROR_SEVERITY,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,NO_ERROR_STATE,7,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,NO_XACT_STATE,8,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,SYS_SP_ErrorLog,ST_SYSTEM_USER,9,,YES,nvarchar,126.0,252.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,SYS_SP_ErrorLog,DT_ERROR_DATE,10,,YES,datetime,,,,,,3.0,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,ServerSetID,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,UnitUID,3,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,LastUnitUID,4,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,QuestID,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest0,6,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest1,7,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest2,8,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest3,9,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest4,10,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest5,11,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest6,12,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest7,13,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest8,14,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,SubQuest9,15,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,QuestState,16,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,CompleteCount,17,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,RegDate,18,,YES,datetime,,,,,,3.0,,,,,,,,,
20201227_Account,dbo,MQuest_20180725,CompleteDate,19,,YES,datetime,,,,,,3.0,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,Category,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,Gender,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,Birth,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,UserProfile,5,,YES,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MFriendSystem_UserInfo,UpdateDate,6,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,UsageCheck,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MFriendSystem_UserInfo,RegDate,8,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Account,dbo,GMQueryHistory,HistoryUID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,GMQueryHistory,GMID,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,GMQueryHistory,Query,3,,NO,nvarchar,1000.0,2000.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,GMQueryHistory,RegDate,4,,NO,datetime,,,,,,3.0,,,,,,,,,
20201227_Account,dbo,GMQueryHistory,Result,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUserOTP,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUserOTP,OTP,2,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MUser_20180322,UserUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUser_20180322,UserID,2,,NO,nvarchar,320.0,640.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MUser_20180322,Password,3,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MUser_20180322,PublisherSN,4,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUser_20180322,Gender,5,,YES,bit,,,,,,,,,,,,,,,
20201227_Account,dbo,MUser_20180322,Age,6,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Account,dbo,MUser_20180322,UserName,7,,NO,nvarchar,320.0,640.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AI,,,
20201227_Account,dbo,MUser_20180322,RegDate,8,,NO,datetime,,,,,,3.0,,,,,,,,,
20201227_Account,dbo,MUser_20180322,DelDate,9,,NO,datetime,,,,,,3.0,,,,,,,,,
