type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,els,2019-12-01,,,,,,all,account,blockbuffer,,extract,account,blockbuffer,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,cbt3rddailyuserstats,,extract,account,cbt3rddailyuserstats,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,elsword_bubble_event,,extract,account,elsword_bubble_event,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,escountrycode,,extract,account,escountrycode,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,account,everydaygift,,extract,account,everydaygift,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,fieldblock_countcheck,,extract,account,fieldblock_countcheck,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,fieldservey,,extract,account,fieldservey,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,gmqueryhistory,,extract,account,gmqueryhistory,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,hackingmodulelist,,extract,account,hackingmodulelist,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,hackinguser,,extract,account,hackinguser,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,maccountblocklist,,extract,account,maccountblocklist,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,mdeveloperip,,extract,account,mdeveloperip,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,messengersn_gaia,,extract,account,messengersn_gaia,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,account,mevent_account_usertype,,extract,account,mevent_account_usertype,,,,,,,,,尚未確定(0M),
