TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20201227_Account,dbo,MPenalty,BASE TABLE
20201227_Account,dbo,MEvent_ExchangeQuantity,BASE TABLE
20201227_Account,dbo,MEvent_Bingo_Present_20160906,BASE TABLE
20201227_Account,dbo,Temp_MID_SN_History,BASE TABLE
20201227_Account,dbo,MUserSecondPW,BASE TABLE
20201227_Account,dbo,MEvent_Bingo_Log_20160906,BASE TABLE
20201227_Account,dbo,SecondPWChangeLog,BASE TABLE
20201227_Account,dbo,SYS_SP_ErrorLog,BASE TABLE
20201227_Account,dbo,MQuest_20180725,BASE TABLE
20201227_Account,dbo,MFriendSystem_UserInfo,BASE TABLE
20201227_Account,dbo,GMQueryHistory,BASE TABLE
20201227_Account,dbo,MUserOTP,BASE TABLE
20201227_Account,dbo,MUser_20180322,BASE TABLE
20201227_Account,dbo,ServerTUser,BASE TABLE
20201227_Account,dbo,MEvent_Bingo_User_TotalPrice_20160906,BASE TABLE
20201227_Account,dbo,MQuestOld,BASE TABLE
20201227_Account,dbo,MUser,BASE TABLE
20201227_Account,dbo,MUser_20170713,BASE TABLE
20201227_Account,dbo,MQuest_LogOld,BASE TABLE
20201227_Account,dbo,MQuest_Log_Repeat,BASE TABLE
20201227_Account,dbo,MInternalID,BASE TABLE
20201227_Account,dbo,MUserDuplicateLogin,BASE TABLE
20201227_Account,dbo,MPenalty_Temp,BASE TABLE
20201227_Account,dbo,MUserAuthority,BASE TABLE
20201227_Account,dbo,MUserDuplicateLogin_Log,BASE TABLE
20201227_Account,dbo,UserAuthLevel,BASE TABLE
20201227_Account,dbo,MPenalty_Log_20150326,BASE TABLE
20201227_Account,dbo,MUserSkillOption,BASE TABLE
20201227_Account,dbo,RejectedUser,BASE TABLE
20201227_Account,dbo,TUser,BASE TABLE
20201227_Account,dbo,ServerQueryErrorLog,BASE TABLE
20201227_Account,dbo,MQuest,BASE TABLE
20201227_Account,dbo,_DBTemp,BASE TABLE
20201227_Account,dbo,MessengerSN,BASE TABLE
20201227_Account,dbo,MUserHackerList,BASE TABLE
20201227_Account,dbo,MPenalty_Log,BASE TABLE
20201227_Account,dbo,ReleaseTick,BASE TABLE
