schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,BlockBuffer,0,0,0,0
dbo,CBT3rdDailyUserStats,0,0,0,0
dbo,Elsword_Bubble_Event,0,0,0,0
dbo,ESCountryCode,1,0,0,0
dbo,EveryDayGift,0,0,0,0
dbo,FieldBlock_CountCheck,0,0,0,0
dbo,FieldServey,0,0,0,0
dbo,GMQueryHistory,0,0,0,0
dbo,HackingModulelist,0,0,0,0
dbo,HackingUser,0,0,0,0
dbo,MAccountBlockList,0,0,0,0
dbo,_DBTemp,40,0,0,0
dbo,MDeveloperIP,0,0,0,0
dbo,MessengerSN_Gaia,0,0,0,0
dbo,MEvent_Account_UserType,0,0,0,0
dbo,MEvent_Bingo_Snapshot,10764,0,0,0
dbo,MEvent_Bingo_Success_CashLog,0,0,0,0
dbo,MEvent_Bingo_Success_CashLog_20160906,0,0,0,0
dbo,MEvent_Bingo_User_TotalPrice,0,0,0,0
dbo,MEvent_Bingo_User_TotalPrice_20160906,0,0,0,0
dbo,MEvent_ExchangeQuantity,0,0,0,0
dbo,MEvent_UserReward,3270,0,0,0
dbo,MEvent_WinterVacation,0,0,0,0
dbo,MEventGift,0,0,0,0
dbo,MEventPoint,0,0,0,0
dbo,MEventPointLog,0,0,0,0
dbo,MInternalID,0,0,0,0
dbo,MFriendSystem_UserInfo,0,0,0,0
dbo,MPenalty_Log_20150326,0,0,0,0
dbo,MPenalty_Temp,0,0,0,0
dbo,MQuestOld,0,0,0,0
dbo,MQuests,0,0,0,0
dbo,MQuests_Complete,0,0,0,0
dbo,MQuests_Repeat,0,0,0,0
dbo,MRecommend,0,0,0,0
dbo,MQuest_LogOld,0,0,0,0
dbo,MUserAuthentication,0,0,0,0
dbo,MUserAuthority,28,0,0,0
dbo,MUserComeback_20151203_bak,261,0,0,0
dbo,MUserDuplicateLogin,0,0,0,0
dbo,MUserDuplicateLogin_Log,0,0,0,0
dbo,MUserHackDoubt,0,0,0,0
dbo,MUserIdentitySN,0,0,0,0
dbo,MUserKeyBoard_BAK_20160726,18331,0,0,0
dbo,MUserLastIP,0,0,0,0
dbo,MUserOption,0,0,0,0
dbo,MUserReportDungeon,0,0,0,0
dbo,MUserSkillOption,0,0,0,0
dbo,MUserType_Giant,0,0,0,0
dbo,RejectedUser,111,0,0,0
dbo,Rejecteduser_Log,0,0,0,0
dbo,ReleaseTick,3,0,0,0
dbo,RetainingUser,0,0,0,0
dbo,ServerTUser,0,0,0,0
dbo,SNMonitoring,0,0,0,0
dbo,SPRename,0,0,0,0
dbo,StatCCUMinute,0,0,0,0
dbo,StatCCUMinuteGuestUser,0,0,0,0
dbo,StatsConnectUniq_except_day,0,0,0,0
dbo,StatsMoneySupply,0,0,0,0
dbo,StatsReConnect,0,0,0,0
dbo,StatsReConnect_,0,0,0,0
dbo,StatsReConnect_MonthLog,0,0,0,0
dbo,StatsReConnect_MonthNew,0,0,0,0
dbo,StatsReConnectNew,0,0,0,0
dbo,StatsReConnectUniq_except_day,0,0,0,0
dbo,StatsUniq,0,0,0,0
dbo,temp_add,0,0,0,0
dbo,temp_gaia_only_new,0,0,0,0
dbo,Temp_MID_SN,0,0,0,0
dbo,Temp_MID_SN_History,0,0,0,0
dbo,TestTable,0,0,0,0
dbo,TotalQueryStats,0,0,0,0
dbo,TotalQueryStatsNew,0,0,0,0
dbo,TradeBlock,0,0,0,0
dbo,TradeBlock_Log,0,0,0,0
dbo,TUser,15,0,0,0
dbo,TUserInsertED,0,0,0,0
dbo,TUserLoginHistory,1909,0,0,0
dbo,UserAuthLevel,3,0,0,0
dbo,UserAuthLevelHistory,3,0,0,0
dbo,MEvent_UserReward_Log,12702,1,0,0
dbo,MEvent_Bingo_UserInfo_150700,22308,1,0,0
dbo,MEvent_Bingo_UserInfo_20160906,19803,1,1,0
dbo,MHackingUserCheckCount,44640,2,1,0
dbo,MEvent_Bingo_UserInfo,41677,2,2,0
dbo,MEvent_Bingo_Snapshot_20160906,60438,2,2,0
dbo,MuserPremium,53144,3,2,0
dbo,MUserUID_Count,79882,3,2,0
dbo,MEvent_Bingo_OrderNo_20160906,23148,4,3,0
dbo,MNPCAttractionPointGroupReward,84949,4,4,0
dbo,MFavoriteUnitList,61375,4,3,1
dbo,SecondPWChangeLog,72997,5,4,1
dbo,MQuestFavorites,204723,8,8,0
dbo,MLifeSpirit,293861,15,14,0
dbo,ServerQueryErrorLog,22439,16,15,0
dbo,MPenalty_Log,79900,18,15,2
dbo,MUserComeback,466634,19,18,1
dbo,MUserHackerList,251484,19,14,4
dbo,MUserKeyBoard_140825,1193012,24,24,0
dbo,MChatOption,715784,28,22,5
dbo,MNPCAttractionPoint,597181,31,31,0
dbo,MAchievementShowroom,548559,35,33,2
dbo,MUserElResonance,611135,37,33,3
dbo,MAchievementPoint,548559,39,36,2
dbo,MEvent_Bingo_Log_150700,1642304,66,66,0
dbo,MEvent_Bingo_Log_20160906,701210,79,79,0
dbo,MEvent_Bingo_GetChanceLog,625513,84,84,0
dbo,MEvent_Bingo_Present_150700,2971020,86,86,0
dbo,MUserComeback_Logout,3331838,93,89,3
dbo,MEvent_Bingo_Log,799988,99,99,0
dbo,MEvent_Bingo_OrderNo,620457,104,97,7
dbo,MPenalty,345264,110,103,7
dbo,MEvent_Bingo_150700,6189625,155,155,0
dbo,MUserOTP,3551958,183,178,5
dbo,MQuest_20170713,1841209,202,201,0
dbo,MEvent_Bingo_Present_20160906,5997495,313,312,0
dbo,SYS_SP_ErrorLog,1429283,421,412,9
dbo,MEvent_Bingo_20160906,9135015,425,425,0
dbo,MNPCAttractionPoint_Log,4794674,431,431,0
dbo,MQuest_20180725,4234431,537,537,0
dbo,MEvent_Bingo_Present,13646006,683,681,2
dbo,MQuest_Log,4528013,687,678,8
dbo,MUserSecondPW,116194,856,597,259
dbo,MessengerSN,12097545,866,852,13
dbo,MQuest,6992932,957,956,0
dbo,MEvent_Bingo,22329828,965,963,2
dbo,MUser_20180322,3347091,1264,1262,2
dbo,MQuest_Log_Repeat,13061965,1556,1554,2
dbo,MUser,3551958,1956,1938,18
dbo,MUserKeyBoard,57474644,2085,2084,1
dbo,MUser_20170713,3294752,2284,2269,15
dbo,MAchievement,58798245,7169,7167,1
dbo,QueryStats,74584052,8098,8097,0
dbo,AConnectLog,471788619,84678,84671,6
