TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,SI,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,User,2,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,ResonType,3,,NO,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,Reson,4,,NO,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,CreateDate,5,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20201227_ConvertCenter,dbo,ELS_GetPoint_Log,si,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ELS_GetPoint_Log,userid,2,,NO,varchar,20.0,20.0,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
20201227_ConvertCenter,dbo,ELS_GetPoint_Log,PPoint,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ELS_GetPoint_Log,log_date,4,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,TranID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,Srv,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,idx,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,AccountID,4,,NO,char,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,BeginGash,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,EndGash,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
