type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,els,2019-12-01,,,,,,all,convertcenter,accountid_info,,extract,convertcenter,accountid_info,,,,,,,,,尚未確定(大於10M),
all,1,els,2019-12-01,,,,,,all,convertcenter,card_create,,extract,convertcenter,card_create,,,,,,,,,尚未確定(大於100M),
all,1,els,2019-12-01,,,,,,all,convertcenter,card_event_list,,extract,convertcenter,card_event_list,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,card_table,,extract,convertcenter,card_table,,,,,,,,,尚未確定(大於100M),
all,1,els,2019-12-01,,,,,,all,convertcenter,cardevent_17,,extract,convertcenter,cardevent_17,,,,,,,,,尚未確定(大於1M),
all,1,els,2019-12-01,,,,,,all,convertcenter,cardevent_18,,extract,convertcenter,cardevent_18,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,cardevent_18_ii,,extract,convertcenter,cardevent_18_ii,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_changelog,,extract,convertcenter,els_changelog,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_gametype,,extract,convertcenter,els_gametype,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_getpoint_log,,extract,convertcenter,els_getpoint_log,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_itemlist,,extract,convertcenter,els_itemlist,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_loginlog,,extract,convertcenter,els_loginlog,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,els_product,,extract,convertcenter,els_product,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,elsgamepoint,,extract,convertcenter,elsgamepoint,,,,,,,,,尚未確定(大於100M),
all,1,els,2019-12-01,,,,,,all,convertcenter,elsgamepoint_eventtopoint,,extract,convertcenter,elsgamepoint_eventtopoint,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,elsmember,,extract,convertcenter,elsmember,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,convertcenter,est_addpointapply,,extract,convertcenter,est_addpointapply,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,event_list,,extract,convertcenter,event_list,,,,,,,,,尚未確定(小於500K),
all,1,els,2019-12-01,,,,,,all,convertcenter,eventitemcode_list,,extract,convertcenter,eventitemcode_list,,,,,,,,,尚未確定(小於500K),
log,1,els,2019-12-01,,,,,,all,convertcenter,card_log,,extract,convertcenter,card_log,,logtime,logtime,0,1,,,,尚未確定(大於10M),
log,1,els,2019-12-01,,,,,,all,convertcenter,elsaddgpoint_log,,extract,convertcenter,elsaddgpoint_log,,logdate,logdate,0,1,,,,尚未確定(大於100M),
log,1,els,2019-12-01,,,,,,all,convertcenter,elstranslog,,extract,convertcenter,elstranslog,,createdate,createdate,0,1,,,,尚未確定(大於10G),
log,1,els,2019-12-01,,,,,,all,convertcenter,est_addpointlog,,extract,convertcenter,est_addpointlog,,createdate,createdate,0,1,,,,尚未確定(小於500K),
log,1,els,2019-12-01,,,,,,all,convertcenter,est_minuspointlog,,extract,convertcenter,est_minuspointlog,,createdate,createdate,0,1,,,,尚未確定(小於500K),
log,1,els,2019-12-01,,,,,,all,convertcenter,exchangegash_log,,extract,convertcenter,exchangegash_log,,logtime,logtime,0,1,,,,尚未確定(大於100M),
log,1,els,2019-12-01,,,,,,all,convertcenter,exchangegash_log_els,,extract,convertcenter,exchangegash_log_els,,logtime,logtime,0,1,,,,尚未確定(大於1G),
log,1,els,2019-12-01,,,,,,all,convertcenter,systemerror_log,,extract,convertcenter,systemerror_log,,logtime,logtime,0,1,,,,尚未確定(大於10M),
